MAP,ENERGY
MI20C_I000K01N13,3107934.076294
MI20C_I001K01N13,3136827.251045
MI20C_I002K01N13,3637896.896557
MI20C_I003K01N13,3159530.265848
MI20C_I004K01N13,3095572.011186
MI20C_I005K01N13,3116605.052040
MI20C_I006K01N13,3120618.183789
MI20C_I007K01N13,3091712.971380
MI20C_I008K01N13,3659367.369111
MI20C_I009K01N13,3112279.294575
MI20C_I010K01N13,3626458.298967
MI20C_I011K01N13,3109335.317237
MI20C_I012K01N13,3092283.914061
MI20C_I013K01N13,3634724.359156
MI20C_I014K01N13,3574942.859769
MI20C_I016K01N13,3132680.912172
MI20C_I017K01N13,3643026.942335
MI20C_I018K01N13,3176976.627580
MI20C_I019K01N13,3091243.442275
MI20C_I020K01N13,3261000.981037
MI20C_I021K01N13,3582005.560113
MI20C_I022K01N13,3107065.881574
MI20C_I023K01N13,3105193.454859
MI20C_I024K01N13,3140356.750594
MI20C_I025K01N13,3133615.930101
MI20C_I026K01N13,3140650.932368
MI20C_I027K01N13,3098344.122538
MI20C_I028K01N13,3134388.815882
MI20C_I029K01N13,3166512.254961
MI20C_I030K01N13,3116690.270220
MI20C_I031K01N13,3114428.930525
MI20C_I032K01N13,3092204.955526
MI20C_I033K01N13,3087362.317538
MI20C_I034K01N13,3139525.955056
MI20C_I035K01N13,3114783.233460
MI20C_I036K01N13,3099989.921805
MI20C_I037K01N13,3307291.325529
MI20C_I038K01N13,3132725.622843
MI20C_I039K01N13,3100309.019092
MI20C_I040K01N13,3093433.019284
MI20C_I041K01N13,3141772.051085
MI20C_I042K01N13,3095119.138188
MI20C_I043K01N13,3142332.435062
MI20C_I044K01N13,3128582.640875
MI20C_I045K01N13,3094897.171263
MI20C_I046K01N13,3114163.640066
MI20C_I047K01N13,3098106.662253
MI20C_I048K01N13,3098619.933198
MI20C_I049K01N13,3113191.918293
MI20C_I050K01N13,3094433.764829
MI20C_I051K01N13,3097213.724722
MI20C_I052K01N13,3110225.059678
MI20C_I053K01N13,3642694.799241
MI20C_I054K01N13,3111687.599327
MI20C_I055K01N13,3101536.540851
MI20C_I056K01N13,3175112.265533
MI20C_I057K01N13,3110387.448047
MI20C_I058K01N13,3165599.366482
MI20C_I059K01N13,3184859.585983
MI20C_I060K01N13,3106482.589749
MI20C_I061K01N13,3107409.480830
MI20C_I062K01N13,3096565.124926
MI20C_I063K01N13,3173362.754753
MI20C_I064K01N13,3107700.539350
MI20C_I065K01N13,3599243.338923
MI20C_I066K01N13,3093616.276761
MI20C_I067K01N13,3592597.212032
MI20C_I068K01N13,3094813.745153
MI20C_I069K01N13,3172978.397321
MI20C_I070K01N13,3129297.995211
MI20C_I072K01N13,3214906.268822
MI20C_I073K01N13,3095901.245607
MI20C_I074K01N13,3091428.740237
MI20C_I075K01N13,3137724.470740
MI20C_I076K01N13,3114104.246494
MI20C_I077K01N13,3642956.225041
MI20C_I078K01N13,3264028.656429
MI20C_I079K01N13,3298498.871014
MI20C_I080K01N13,3178940.367807
MI20C_I081K01N13,3099953.227150
MI20C_I082K01N13,3115167.321089
MI20C_I083K01N13,3133799.140812
MI20C_I084K01N13,3134117.295740
MI20C_I085K01N13,3294247.915344
MI20C_I086K01N13,3096239.622315
MI20C_I087K01N13,3093143.512837
MI20C_I088K01N13,3107330.616851
MI20C_I089K01N13,3681854.123616
MI20C_I090K01N13,3095633.116038
MI20C_I091K01N13,3099757.513412
MI20C_I092K01N13,3178261.338407
MI20C_I093K01N13,3137954.918967
MI20C_I094K01N13,3123633.271356
MI20C_I095K01N13,3721801.215586
MI20C_I096K01N13,3126320.688240
MI20C_I097K01N13,3134314.465163
MI20C_I098K01N13,3135114.271991
MI20C_I099K01N13,3248404.205129
