#,MAP,CONTIGUOUS,ENERGY,POPDEV,DELTA,SHARED,UOM,ES
5,MO20C_I004K01N08,True,2841503.020660,0.003130,0.000000,1.000000,0.000000,0.000000
58,MO20C_I057K01N08,True,2842312.991189,0.003070,0.000285,0.981423,0.141059,0.038145
21,MO20C_I020K01N08,True,2842312.991189,0.003070,0.000285,0.981423,0.141059,0.038145
93,MO20C_I092K01N08,True,2842312.991189,0.003070,0.000285,0.981423,0.141059,0.038145
50,MO20C_I049K01N08,True,2844525.606309,0.003510,0.001064,0.981223,0.142965,0.038561
72,MO20C_I071K01N08,True,2860041.286541,0.005330,0.006524,0.943036,0.333074,0.125175
88,MO20C_I087K01N08,True,2861347.969437,0.004520,0.006984,0.763257,0.812288,0.644465
64,MO20C_I063K01N08,True,2861622.175773,0.004660,0.007080,0.763133,0.814771,0.644471
84,MO20C_I083K01N08,True,2861971.733183,0.005380,0.007203,0.764127,0.805364,0.642676
23,MO20C_I022K01N08,True,2862238.401260,0.004100,0.007297,0.763133,0.813845,0.643979
49,MO20C_I048K01N08,True,2862547.815950,0.005320,0.007406,0.765227,0.808701,0.644018
39,MO20C_I038K01N08,True,2862901.708436,0.003170,0.007531,0.775714,0.795198,0.612895
51,MO20C_I050K01N08,True,2864203.658430,0.004140,0.007989,0.765180,0.810285,0.638787
12,MO20C_I011K01N08,True,2864230.687517,0.006820,0.007998,0.767597,0.807968,0.637506
27,MO20C_I026K01N08,True,2864364.663683,0.005030,0.008046,0.766024,0.805846,0.636612
32,MO20C_I031K01N08,True,2864516.432983,0.002110,0.008099,0.763157,0.803888,0.643418
11,MO20C_I010K01N08,True,2864516.432983,0.002110,0.008099,0.763157,0.803888,0.643418
90,MO20C_I089K01N08,True,2864516.432983,0.002110,0.008099,0.763157,0.803888,0.643418
78,MO20C_I077K01N08,True,2864516.432983,0.002110,0.008099,0.763157,0.803888,0.643418
18,MO20C_I017K01N08,True,2864516.432983,0.002110,0.008099,0.763157,0.803888,0.643418
29,MO20C_I028K01N08,True,2864516.432983,0.002110,0.008099,0.763157,0.803888,0.643418
33,MO20C_I032K01N08,True,2864676.006251,0.001680,0.008155,0.764521,0.820606,0.641938
70,MO20C_I069K01N08,True,2864725.650754,0.005030,0.008173,0.766658,0.801376,0.635207
44,MO20C_I043K01N08,True,2864725.650754,0.005020,0.008173,0.766658,0.801376,0.635207
95,MO20C_I094K01N08,True,2864854.431104,0.004870,0.008218,0.765040,0.812165,0.638799
40,MO20C_I039K01N08,True,2864926.557677,0.005120,0.008243,0.765196,0.809908,0.637791
48,MO20C_I047K01N08,True,2865178.152568,0.002680,0.008332,0.837145,0.684233,0.430945
62,MO20C_I061K01N08,True,2865497.472184,0.002880,0.008444,0.780651,0.796793,0.599893
66,MO20C_I065K01N08,True,2865620.633152,0.002170,0.008488,0.792315,0.767613,0.567843
71,MO20C_I070K01N08,True,2866013.941675,0.003430,0.008626,0.844559,0.667123,0.405577
1,MO20C_I000K01N08,True,2866173.584840,0.002950,0.008682,0.766615,0.827912,0.637065
68,MO20C_I067K01N08,True,2866466.943379,0.003590,0.008785,0.844682,0.665963,0.406105
13,MO20C_I012K01N08,True,2866683.257676,0.004350,0.008862,0.763897,0.817533,0.640935
85,MO20C_I084K01N08,True,2866802.563763,0.001180,0.008904,0.808108,0.732285,0.522907
24,MO20C_I023K01N08,True,2867257.446694,0.005290,0.009064,0.759308,0.831553,0.656114
74,MO20C_I073K01N08,True,2867313.199118,0.003970,0.009083,0.776219,0.809457,0.610214
65,MO20C_I064K01N08,True,2867386.785013,0.002510,0.009109,0.815739,0.722088,0.498451
37,MO20C_I036K01N08,True,2868001.004325,0.001410,0.009325,0.815154,0.724994,0.499469
76,MO20C_I075K01N08,True,2868001.004325,0.001410,0.009325,0.815154,0.724994,0.499469
6,MO20C_I005K01N08,True,2868054.288399,0.001410,0.009344,0.815738,0.723885,0.497382
100,MO20C_I099K01N08,True,2868054.288399,0.001410,0.009344,0.815738,0.723885,0.497382
10,MO20C_I009K01N08,True,2868054.288399,0.001410,0.009344,0.815738,0.723885,0.497382
16,MO20C_I015K01N08,True,2868054.288399,0.001410,0.009344,0.815738,0.723885,0.497382
46,MO20C_I045K01N08,True,2868054.288399,0.001410,0.009344,0.815738,0.723885,0.497382
