#,MAP,CONTIGUOUS,ENERGY,POPDEV,DELTA,SHARED,UOM,ES
68,MS20C_I067K01N04,True,1934333.306471,0.004750,0.000000,1.000000,0.000000,0.000000
39,MS20C_I038K01N04,True,1934495.345674,0.006910,0.000084,0.997958,0.020539,0.004095
77,MS20C_I076K01N04,True,1934495.345674,0.006910,0.000084,0.997958,0.020539,0.004095
72,MS20C_I071K01N04,True,1934495.345674,0.006910,0.000084,0.997958,0.020539,0.004095
87,MS20C_I086K01N04,True,1934495.345674,0.006910,0.000084,0.997958,0.020539,0.004095
26,MS20C_I025K01N04,True,1934495.345674,0.006910,0.000084,0.997958,0.020539,0.004095
49,MS20C_I048K01N04,True,1934495.345674,0.006910,0.000084,0.997958,0.020539,0.004095
24,MS20C_I023K01N04,True,1934495.345674,0.006910,0.000084,0.997958,0.020539,0.004095
35,MS20C_I034K01N04,True,1934692.825533,0.003210,0.000186,0.999616,0.004144,0.000769
64,MS20C_I063K01N04,True,1934692.825533,0.003210,0.000186,0.999616,0.004144,0.000769
80,MS20C_I079K01N04,True,1935551.672757,0.004170,0.000630,0.988791,0.087490,0.022826
51,MS20C_I050K01N04,True,1936748.258507,0.001890,0.001248,0.983790,0.131156,0.033164
13,MS20C_I012K01N04,True,1937214.505346,0.001210,0.001490,0.984862,0.119255,0.030911
32,MS20C_I031K01N04,True,1937664.149998,0.001610,0.001722,0.965253,0.233638,0.073459
60,MS20C_I059K01N04,True,1937689.195521,0.001330,0.001735,0.966406,0.227244,0.070897
1,MS20C_I000K01N04,True,1937689.195521,0.001330,0.001735,0.966406,0.227244,0.070897
96,MS20C_I095K01N04,True,1937689.195521,0.001330,0.001735,0.966406,0.227244,0.070897
10,MS20C_I009K01N04,True,1937717.056160,0.001410,0.001749,0.966384,0.227340,0.070944
97,MS20C_I096K01N04,True,1938050.991062,0.004110,0.001922,0.989161,0.090777,0.022054
40,MS20C_I039K01N04,True,1938095.222792,0.008980,0.001945,0.974520,0.183101,0.053014
43,MS20C_I042K01N04,True,1938117.841626,0.009280,0.001957,0.978631,0.158339,0.044073
78,MS20C_I077K01N04,True,1938117.841626,0.009280,0.001957,0.978631,0.158339,0.044073
99,MS20C_I098K01N04,True,1938128.354792,0.009470,0.001962,0.974722,0.181307,0.052576
47,MS20C_I046K01N04,True,1939607.055241,0.001620,0.002726,0.958091,0.271263,0.089451
73,MS20C_I072K01N04,True,1940192.044600,0.001690,0.003029,0.975495,0.178010,0.050722
59,MS20C_I058K01N04,True,1940302.408747,0.001690,0.003086,0.976434,0.170574,0.048706
22,MS20C_I021K01N04,True,1941420.513019,0.002890,0.003664,0.972702,0.188770,0.056758
4,MS20C_I003K01N04,True,1941420.513019,0.002890,0.003664,0.972702,0.188770,0.056758
48,MS20C_I047K01N04,True,1941420.513019,0.002880,0.003664,0.972702,0.188770,0.056758
83,MS20C_I082K01N04,True,1941420.513019,0.002880,0.003664,0.972702,0.188770,0.056758
34,MS20C_I033K01N04,True,1941420.513019,0.002880,0.003664,0.972702,0.188770,0.056758
63,MS20C_I062K01N04,True,1941700.415034,0.001560,0.003809,0.972055,0.193472,0.058098
14,MS20C_I013K01N04,True,1941700.415034,0.001560,0.003809,0.972055,0.193472,0.058098
17,MS20C_I016K01N04,True,1941700.415034,0.001560,0.003809,0.972055,0.193472,0.058098
41,MS20C_I040K01N04,True,1941700.415034,0.001560,0.003809,0.972055,0.193472,0.058098
23,MS20C_I022K01N04,True,1941700.415034,0.001560,0.003809,0.972055,0.193472,0.058098
15,MS20C_I014K01N04,True,1941700.415034,0.001560,0.003809,0.972055,0.193472,0.058098
52,MS20C_I051K01N04,True,1941700.415034,0.001560,0.003809,0.972055,0.193472,0.058098
37,MS20C_I036K01N04,True,1941700.415034,0.001560,0.003809,0.972055,0.193472,0.058098
94,MS20C_I093K01N04,True,1941924.315457,0.004940,0.003924,0.943323,0.342809,0.123628
20,MS20C_I019K01N04,True,1942124.580132,0.005320,0.004028,0.974319,0.178801,0.053258
75,MS20C_I074K01N04,True,1942515.328621,0.003110,0.004230,0.945011,0.333888,0.119719
31,MS20C_I030K01N04,True,1942732.715392,0.004720,0.004342,0.947909,0.320798,0.112807
65,MS20C_I064K01N04,True,1943351.892215,0.002250,0.004662,0.971481,0.192886,0.059450
27,MS20C_I026K01N04,True,1943359.876864,0.004490,0.004667,0.941934,0.347897,0.126944
