#,MAP,CONTIGUOUS,ENERGY,POPDEV,DELTA,SHARED,UOM,ES
23,NC20C_I022K01N14,True,3085822.680419,0.011960,0.000000,1.000000,0.000000,0.000000
74,NC20C_I073K01N14,True,3091360.325129,0.010990,0.001795,0.958363,0.266173,0.088974
89,NC20C_I088K01N14,True,3093686.026298,0.015640,0.002548,0.960637,0.256967,0.083245
16,NC20C_I015K01N14,True,3095700.538879,0.010640,0.003201,0.967881,0.207864,0.067525
83,NC20C_I082K01N14,True,3095984.870328,0.010920,0.003293,0.891767,0.519632,0.270848
88,NC20C_I087K01N14,True,3101225.745536,0.008240,0.004992,0.900175,0.484648,0.236110
69,NC20C_I068K01N14,True,3102369.785621,0.018070,0.005362,0.900837,0.490465,0.238418
58,NC20C_I057K01N14,True,3102675.460977,0.007240,0.005461,0.902762,0.457901,0.231344
33,NC20C_I032K01N14,True,3102733.423561,0.009540,0.005480,0.899770,0.467890,0.247471
22,NC20C_I021K01N14,True,3102762.719505,0.015560,0.005490,0.872590,0.459496,0.296474
93,NC20C_I092K01N14,True,3103099.598184,0.009080,0.005599,0.920875,0.393404,0.190126
25,NC20C_I024K01N14,True,3103904.511138,0.004810,0.005860,0.915872,0.421766,0.194245
56,NC20C_I055K01N14,True,3104266.639298,0.009890,0.005977,0.931187,0.378531,0.153623
20,NC20C_I019K01N14,True,3104330.615350,0.004980,0.005998,0.899752,0.431757,0.279660
71,NC20C_I070K01N14,True,3104864.590672,0.015170,0.006171,0.876218,0.575569,0.309032
54,NC20C_I053K01N14,True,3104982.385076,0.009270,0.006209,0.920852,0.416217,0.178633
44,NC20C_I043K01N14,True,3105478.666175,0.008420,0.006370,0.880219,0.557941,0.310962
78,NC20C_I077K01N14,True,3105979.314655,0.014420,0.006532,0.908747,0.465153,0.209182
4,NC20C_I003K01N14,True,3106050.049647,0.006490,0.006555,0.907714,0.450597,0.216652
90,NC20C_I089K01N14,True,3106241.559876,0.008710,0.006617,0.922284,0.415164,0.175690
35,NC20C_I034K01N14,True,3106367.611184,0.011200,0.006658,0.943160,0.341730,0.123597
14,NC20C_I013K01N14,True,3106760.644137,0.009600,0.006785,0.919478,0.436372,0.182787
40,NC20C_I039K01N14,True,3108185.755372,0.005360,0.007247,0.885154,0.530736,0.287813
1,NC20C_I000K01N14,True,3109297.318733,0.013780,0.007607,0.899147,0.506862,0.238080
57,NC20C_I056K01N14,True,3109351.526510,0.009490,0.007625,0.874878,0.434883,0.287480
9,NC20C_I008K01N14,True,3109454.707134,0.012110,0.007658,0.888437,0.543289,0.267976
66,NC20C_I065K01N14,True,3110268.817096,0.004280,0.007922,0.868582,0.547471,0.372074
68,NC20C_I067K01N14,True,3110560.481206,0.005510,0.008017,0.926107,0.418565,0.163595
100,NC20C_I099K01N14,True,3110781.336104,0.014380,0.008088,0.900665,0.499179,0.235155
6,NC20C_I005K01N14,True,3111191.387795,0.011130,0.008221,0.895134,0.527856,0.247044
98,NC20C_I097K01N14,True,3111835.082089,0.012160,0.008430,0.939955,0.345744,0.132639
65,NC20C_I064K01N14,True,3113619.678954,0.007190,0.009008,0.919315,0.413091,0.185986
72,NC20C_I071K01N14,True,3113663.532262,0.007290,0.009022,0.880417,0.517317,0.334792
39,NC20C_I038K01N14,True,3114372.652190,0.022310,0.009252,0.885955,0.498254,0.309473
87,NC20C_I086K01N14,True,3115498.308210,0.007130,0.009617,0.892155,0.487450,0.262093
11,NC20C_I010K01N14,True,3115600.250384,0.006600,0.009650,0.811806,0.754603,0.530713
45,NC20C_I044K01N14,True,3116223.489399,0.015080,0.009852,0.880670,0.546728,0.319132
52,NC20C_I051K01N14,True,3116481.197976,0.021020,0.009935,0.884293,0.527746,0.302707
48,NC20C_I047K01N14,True,3116614.768991,0.008480,0.009979,0.901667,0.489231,0.231221
77,NC20C_I076K01N14,True,3117550.217427,0.012410,0.010282,0.873738,0.616526,0.306874
31,NC20C_I030K01N14,True,3119759.063302,0.009480,0.010998,0.868365,0.503672,0.312500
2,NC20C_I001K01N14,True,3119980.305617,0.010280,0.011069,0.835493,0.622971,0.411780
76,NC20C_I075K01N14,True,3120976.450905,0.009550,0.011392,0.825211,0.700427,0.491838
91,NC20C_I090K01N14,True,3121149.862488,0.009710,0.011448,0.852208,0.641459,0.371184
63,NC20C_I062K01N14,True,3121314.990795,0.008260,0.011502,0.917365,0.437915,0.187883
79,NC20C_I078K01N14,True,3122502.614199,0.005940,0.011887,0.874282,0.545120,0.304749
99,NC20C_I098K01N14,True,3123096.772338,0.009000,0.012079,0.928674,0.386747,0.158766
18,NC20C_I017K01N14,True,3123132.798815,0.010440,0.012091,0.859157,0.530073,0.330410
36,NC20C_I035K01N14,True,3124036.500589,0.005530,0.012384,0.811118,0.777407,0.525340
30,NC20C_I029K01N14,True,3129185.903556,0.019810,0.014052,0.889877,0.539774,0.264222
17,NC20C_I016K01N14,True,3132501.530269,0.018610,0.015127,0.784236,0.805274,0.618459
41,NC20C_I040K01N14,True,3133594.864758,0.007280,0.015481,0.860308,0.562016,0.336699
62,NC20C_I061K01N14,True,3137323.412764,0.007040,0.016689,0.794688,0.747712,0.601966
38,NC20C_I037K01N14,True,3143329.714596,0.018890,0.018636,0.794575,0.758055,0.537742
67,NC20C_I066K01N14,True,3147196.945338,0.007070,0.019889,0.756698,0.886659,0.716345
80,NC20C_I079K01N14,True,3147861.739444,0.009450,0.020105,0.790893,0.764686,0.618753
73,NC20C_I072K01N14,True,3150009.526234,0.009370,0.020801,0.845176,0.613692,0.381528
97,NC20C_I096K01N14,True,3155154.219148,0.012270,0.022468,0.782722,0.792341,0.605404
