#,MAP,CONTIGUOUS,ENERGY,DELTA,SHARED,UOM,ES,NOTE
22,NC20C_I021K01N14,False,3094978.874033,0.000000,1.000000,0.000000,0.000000,"Lowest: 1-100, 1-1000"
32,NC20C_I031K01N14,False,3097038.871712,0.000666,0.989873,0.078462,0.020743,
66,NC20C_I065K01N14,False,3097396.876256,0.000781,0.969669,0.206714,0.064289,
11,NC20C_I010K01N14,False,3097560.270553,0.000834,0.988587,0.088905,0.023514,
4,NC20C_I003K01N14,False,3099132.536990,0.001342,0.972746,0.168194,0.058663,Lowest: 1-10
84,NC20C_I083K01N14,False,3099238.182067,0.001376,0.985053,0.109054,0.030883,
64,NC20C_I063K01N14,False,3099718.939761,0.001532,0.961410,0.249496,0.082553,
53,NC20C_I052K01N14,False,3100080.853441,0.001648,0.981282,0.133189,0.038652,
1,NC20C_I000K01N14,False,3100302.685078,0.001720,0.972645,0.176028,0.058334,
97,NC20C_I096K01N14,False,3100873.578200,0.001905,0.981952,0.130880,0.037338,
15,NC20C_I014K01N14,False,3100915.377337,0.001918,0.968512,0.191624,0.068187,
46,NC20C_I045K01N14,False,3101169.755794,0.002000,0.969866,0.188276,0.064344,
8,NC20C_I007K01N14,False,3101176.449807,0.002002,0.965820,0.200751,0.075191,
87,NC20C_I086K01N14,False,3101466.810855,0.002096,0.972491,0.166143,0.058932,
47,NC20C_I046K01N14,False,3101599.768816,0.002139,0.964499,0.194969,0.078541,
72,NC20C_I071K01N14,False,3102290.177984,0.002362,0.966005,0.198114,0.074501,
67,NC20C_I066K01N14,False,3102478.640198,0.002423,0.989178,0.082980,0.022396,
95,NC20C_I094K01N14,False,3102655.108579,0.002480,0.968636,0.181056,0.068645,
78,NC20C_I077K01N14,False,3102714.585999,0.002499,0.969722,0.167892,0.066638,
89,NC20C_I088K01N14,False,3103108.632558,0.002627,0.890976,0.371298,0.257512,
51,NC20C_I050K01N14,False,3103125.377024,0.002632,0.970475,0.170456,0.063962,
29,NC20C_I028K01N14,False,3103278.521821,0.002682,0.967098,0.185275,0.071941,
28,NC20C_I027K01N14,False,3103357.907217,0.002707,0.965697,0.223315,0.072705,
82,NC20C_I081K01N14,False,3103764.632087,0.002839,0.966025,0.181896,0.075581,
68,NC20C_I067K01N14,False,3104014.510002,0.002919,0.966134,0.198509,0.074656,
83,NC20C_I082K01N14,False,3104294.397149,0.003010,0.966234,0.198514,0.073443,
45,NC20C_I044K01N14,False,3104452.953110,0.003061,0.980869,0.143719,0.039623,
16,NC20C_I015K01N14,False,3104622.373314,0.003116,0.963820,0.196648,0.080039,
58,NC20C_I057K01N14,False,3104872.481134,0.003197,0.967795,0.182111,0.070537,
98,NC20C_I097K01N14,False,3105113.136614,0.003274,0.966502,0.186416,0.073747,
73,NC20C_I072K01N14,False,3105117.302103,0.003276,0.960557,0.223759,0.086873,
24,NC20C_I023K01N14,False,3105249.035180,0.003318,0.957858,0.246476,0.091581,
69,NC20C_I068K01N14,False,3105280.831966,0.003329,0.975906,0.166754,0.050679,
6,NC20C_I005K01N14,False,3105699.738589,0.003464,0.973353,0.180858,0.056607,
7,NC20C_I006K01N14,False,3105706.255266,0.003466,0.967473,0.217734,0.068683,
3,NC20C_I002K01N14,False,3105769.966078,0.003487,0.966470,0.196807,0.072569,
60,NC20C_I059K01N14,False,3106006.348457,0.003563,0.978736,0.154077,0.044379,
44,NC20C_I043K01N14,False,3106345.801696,0.003673,0.961169,0.220644,0.085654,
54,NC20C_I053K01N14,False,3106506.743126,0.003725,0.980398,0.145593,0.040626,
52,NC20C_I051K01N14,False,3106571.891675,0.003746,0.949485,0.284673,0.111076,
21,NC20C_I020K01N14,False,3106577.285598,0.003747,0.965812,0.203785,0.073600,
2,NC20C_I001K01N14,False,3106661.382814,0.003775,0.962205,0.206035,0.083905,
93,NC20C_I092K01N14,False,3106883.824166,0.003847,0.965395,0.217375,0.074510,
48,NC20C_I047K01N14,False,3107031.039456,0.003894,0.978184,0.148662,0.046366,
27,NC20C_I026K01N14,False,3107045.165622,0.003899,0.952340,0.273082,0.105259,
38,NC20C_I037K01N14,False,3107348.717288,0.003997,0.978386,0.147318,0.045961,
80,NC20C_I079K01N14,False,3108516.394978,0.004374,0.966368,0.211577,0.072524,
18,NC20C_I017K01N14,False,3108579.060685,0.004394,0.975287,0.160793,0.052747,
86,NC20C_I085K01N14,False,3108588.426813,0.004397,0.963115,0.209647,0.081038,
65,NC20C_I064K01N14,False,3108706.109114,0.004435,0.976935,0.161158,0.048717,
88,NC20C_I087K01N14,False,3108997.829456,0.004530,0.964790,0.215917,0.076429,
56,NC20C_I055K01N14,False,3109042.075444,0.004544,0.962399,0.232742,0.081426,
9,NC20C_I008K01N14,False,3109143.218906,0.004577,0.955638,0.249945,0.097958,
41,NC20C_I040K01N14,False,3109220.691991,0.004602,0.963727,0.212784,0.079011,
10,NC20C_I009K01N14,False,3109271.398411,0.004618,0.963623,0.210271,0.079420,
71,NC20C_I070K01N14,False,3109279.223086,0.004620,0.965574,0.204289,0.074734,
74,NC20C_I073K01N14,False,3109392.064469,0.004657,0.961918,0.237595,0.082403,
59,NC20C_I058K01N14,False,3109462.022297,0.004680,0.966427,0.198547,0.073397,
62,NC20C_I061K01N14,False,3109496.149897,0.004691,0.973888,0.175937,0.055252,
75,NC20C_I074K01N14,False,3109663.798165,0.004745,0.968347,0.196608,0.069235,
94,NC20C_I093K01N14,False,3109688.343520,0.004753,0.963339,0.239053,0.078520,
57,NC20C_I056K01N14,False,3109843.359096,0.004803,0.954712,0.259262,0.099442,
35,NC20C_I034K01N14,False,3110287.991232,0.004946,0.965813,0.208364,0.074305,
79,NC20C_I078K01N14,False,3110471.141966,0.005006,0.967191,0.197532,0.071207,
85,NC20C_I084K01N14,False,3110508.321539,0.005018,0.966719,0.194787,0.072235,
50,NC20C_I049K01N14,False,3110612.779935,0.005051,0.960750,0.228821,0.085817,
39,NC20C_I038K01N14,False,3110771.440091,0.005103,0.966855,0.224740,0.070241,
