GEOID,DISTRICT
370010201001001,4
370010201001002,4
370010201001003,4
370010201001004,4
370010201001005,4
370010201001006,4
370010201001007,4
370010201001008,4
370010201001009,4
370010201001010,4
370010201001011,4
370010201001012,4
370010201001013,4
370010201001014,4
370010201001015,4
370010201001016,4
370010201001017,4
370010201001018,4
370010201001019,4
370010201001020,4
370010201001021,4
370010201001022,4
370010201001023,4
370010201001024,4
370010201001025,4
370010201001026,4
370010201001027,4
370010201001028,4
370010201001029,4
370010201001030,4
370010201001031,4
370010201002000,4
370010201002001,4
370010201002002,4
370010201002003,4
370010201002004,4
370010201002005,4
370010201002007,4
370010201002008,4
370010201002009,4
370010201002010,4
370010201002011,4
370010201002012,4
370010201002013,4
370010201002015,4
370010201002016,4
370010201002017,4
370010201002019,4
370010201002020,4
370010201002021,4
370010201002022,4
370010201002023,4
370010201002024,4
370010201002025,4
370010201002026,4
370010201002027,4
370010201002028,4
370010201002030,4
370010201002031,4
370010201002032,4
370010201002033,4
370010201002034,4
370010201002035,4
370010201002036,4
370010201003000,4
370010201003001,4
370010201003002,4
370010201003003,4
370010201003004,4
370010201003005,4
370010201003006,4
370010201003007,4
370010201003008,4
370010201003009,4
370010201003010,4
370010201003011,4
370010201003012,4
370010201003013,4
370010201003014,4
370010201003015,4
370010201003016,4
370010201004000,4
370010201004001,4
370010201004002,4
370010201004005,4
370010201004008,4
370010201004016,4
370010201004017,4
370010201004031,4
370010201004034,4
370010201004036,4
370010201004038,4
370010201004039,4
370010201004042,4
370010201004043,4
370010201004045,4
370010201004046,4
370010201004048,4
370010201004050,4
370010201004051,4
370010201004052,4
370010201004053,4
370010201004054,4
370010201004055,4
370010202001000,4
370010202001001,4
370010202001002,4
370010202001003,4
370010202001004,4
370010202001006,4
370010202001007,4
370010202001008,4
370010202001009,4
370010202001011,4
370010202001012,4
370010202001013,4
370010202001014,4
370010202001015,4
370010202001016,4
370010202001017,4
370010202001018,4
370010202001019,4
370010202001020,4
370010202001021,4
370010202001022,4
370010202001023,4
370010202001024,4
370010202001025,4
370010202001027,4
370010202002000,4
370010202002001,4
370010202002002,4
370010202002003,4
370010202002004,4
370010202002005,4
370010202002006,4
370010202002007,4
370010202002008,4
370010202002009,4
370010202002010,4
370010202002011,4
370010202002012,4
370010202002013,4
370010202002014,4
370010202003000,4
370010202003001,4
370010202003002,4
370010202003003,4
370010202003004,4
370010202003005,4
370010202003006,4
370010202003009,4
370010202003010,4
370010202003011,4
370010202003012,4
370010202003013,4
370010202003014,4
370010202003015,4
370010202003016,4
370010202003017,4
370010202003018,4
370010202003019,4
370010202003020,4
370010202003021,4
370010202003022,4
370010202003023,4
370010202003024,4
370010202003025,4
370010202003026,4
370010202003027,4
370010202003028,4
370010202003029,4
370010202004000,4
370010202004001,4
370010202004002,4
370010202004003,4
370010202004005,4
370010202004006,4
370010202004007,4
370010202004008,4
370010202004009,4
370010202004010,4
370010202004011,4
370010202004012,4
370010202004013,4
370010202004014,4
370010202004015,4
370010202004016,4
370010202004017,4
370010202004019,4
370010202004020,4
370010202004021,4
370010202004022,4
370010202004023,4
370010202004024,4
370010202004025,4
370010202004026,4
370010202004027,4
370010202004028,4
370010202004029,4
370010202004030,4
370010202004031,4
370010202004032,4
370010202004033,4
370010202004034,4
370010202004035,4
370010202004037,4
370010203011002,4
370010203011003,4
370010203011004,4
370010203011005,4
370010203011008,4
370010203011009,4
370010203011010,4
370010203011011,4
370010203011012,4
370010203011013,4
370010203011014,4
370010203011015,4
370010203011016,4
370010203011017,4
370010203012001,4
370010203012002,4
370010203012003,4
370010203012004,4
370010203012006,4
370010203012007,4
370010203012008,4
370010203012009,4
370010203012010,4
370010203012011,4
370010203012012,4
370010203012014,4
370010203012015,4
370010203012016,4
370010203012017,4
370010203012018,4
370010203012019,4
370010203013000,4
370010203013001,4
370010203013002,4
370010203013003,4
370010203013004,4
370010203013005,4
370010203013006,4
370010203013007,4
370010203013008,4
370010203013009,4
370010203013010,4
370010203013011,4
370010203013012,4
370010203013013,4
370010203013014,4
370010203013015,4
370010203013016,4
370010203013017,4
370010203013018,4
370010203013020,4
370010203013021,4
370010203013022,4
370010203013024,4
370010203013026,4
370010203013027,4
370010203013028,4
370010203013029,4
370010203013030,4
370010203013031,4
370010203021000,4
370010203021001,4
370010203021002,4
370010203021003,4
370010203021004,4
370010203021005,4
370010203021006,4
370010203021007,4
370010203021008,4
370010203021009,4
370010203021010,4
370010203021011,4
370010203021012,4
370010203021013,4
370010203021014,4
370010203021015,4
370010203021016,4
370010203021017,4
370010203022001,4
370010203022003,4
370010203022004,4
370010203022006,4
370010203022007,4
370010203022009,4
370010203022010,4
370010203022011,4
370010203022013,4
370010203022016,4
370010203022021,4
370010203022027,4
370010203022028,4
370010203022029,4
370010203022030,4
370010203022032,4
370010203022033,4
370010203022034,4
370010203022035,4
370010203022037,4
370010203022038,4
370010203022039,4
370010203022040,4
370010203022041,4
370010203022042,4
370010203022043,4
370010203022044,4
370010203022046,4
370010203022047,4
370010203022048,4
370010203022049,4
370010203022050,4
370010203022051,4
370010203022052,4
370010203022053,4
370010203022054,4
370010203022055,4
370010203022056,4
370010203022058,4
370010203022059,4
370010203022060,4
370010203022061,4
370010203022062,4
370010203022064,4
370010203022067,4
370010203022068,4
370010203022070,4
370010203022072,4
370010203022073,4
370010204001001,4
370010204001004,4
370010204001007,4
370010204001011,4
370010204001015,4
370010204001016,4
370010204001017,4
370010204001018,4
370010204001019,4
370010204001020,4
370010204001021,4
370010204001022,4
370010204001023,4
370010204001025,4
370010204001026,4
370010204001027,4
370010204001028,4
370010204001029,4
370010204001030,4
370010204001031,4
370010204001032,4
370010204001033,4
370010204001034,4
370010204001035,4
370010204001036,4
370010204001037,4
370010204002000,4
370010204002001,4
370010204002002,4
370010204002003,4
370010204002004,4
370010204002005,4
370010204002006,4
370010204002008,4
370010204002009,4
370010204002010,4
370010204002011,4
370010204002012,4
370010204002013,4
370010204002015,4
370010204002016,4
370010204002017,4
370010204003000,4
370010204003001,4
370010204003002,4
370010204003003,4
