GEOID,DISTRICT
370210001.1,11
370210053.1,11
370210068.1,11
370210022.2,11
370210027.2,11
370210058.1,11
370210059.1,11
37191000004,3
37191000026,3
37191002530,3
3706100CALY,3
37191000028,3
37191000002,3
370210066.1,11
37143BETHEL,1
370210044.1,11
370210024.1,11
370210048.1,11
370210038.3,11
370210036.1,11
37111FORT-1,11
37111FORT-2,11
370210060.2,11
37035000019,10
37035000006,10
37035000002,10
370230029-B,10
370230029-A,10
3710900NB35,10
37035000030,10
37035000014,10
37035000032,10
37035000001,10
370210002.1,11
37035000017,10
37035000026,10
37035000024,10
37023000012,10
37023000013,10
37023000015,10
371350000SM,4
371350000CP,4
37063000044,4
371350000HE,4
37135000ENO,4
37063000045,4
37063000050,4
37153000004,9
370210011.1,11
370210045.1,11
370210039.2,11
370210039.3,11
370210037.1,11
370210003.1,11
370210054.2,11
370210018.2,11
370890000FL,11
370210052.1,11
37035000016,10
37035000029,10
37035000012,10
37035000023,10
371050000D1,9
371050000D2,9
371050000C1,9
371050000C2,9
371350000WD,4
37135000WDS,4
37153000009,9
371050000E1,9
371050000E2,9
3708500PR23,9
3708500PR26,13
3708500PR24,13
3710100PR14,13
3708500PR25,13
3708500PR29,13
370210047.1,11
37143PARKVI,1
37143NEW-HO,1
3706100WOLF,3
370210025.1,11
370210008.3,11
370210060.4,11
370210008.2,11
370210034.1,11
3706100MAGN,3
3716300ROWA,7
3716300INGO,7
3706100BEUL,3
37107000PH2,3
3706100KENA,3
37135000CS1,4
37153000008,9
37165006-89,9
37153000005,9
37165001-16,9
37155000019,9
3703100NPT2,3
3703100NPT1,3
3703100IBSP,3
3703100MHD2,3
3703100ABCH,3
3703100MHD1,3
3708500PR07,9
3706100WALL,3
3706100ROSE,3
3706100WARS,3
3716300TURK,7
3706100FAIS,3
3716300GIDD,3
3706100GLIS,3
37165000004,9
37165000003,9
37017000P80,7
37017000P45,7
3701700P202,7
37017000P55,7
3713300BC21,3
3713300ML23,3
37103000P07,3
3713300NR02,3
37143NICANO,1
37035000013,10
371350000NS,4
371350000WW,4
37019000016,7
370190004B2,7
3701900004A,7
37129000W03,7
37129000W26,7
37019000021,7
37019000007,7
37019000017,7
37019000019,7
37019000008,7
37019000020,7
37019000015,7
37153000002,9
37153000001,9
37153000013,9
37165002-25,9
371350000KM,4
37035000031,8
37035000008,10
371350000LC,4
37191000013,3
37191000007,3
37191000001,3
37191001920,3
37191000029,3
37191000012,3
37057000062,6
37057000066,5
37123000LIT,9
37055000KDH,1
370550000EL,1
