GEOID,DISTRICT
370010201001,1
370010201002,1
370010201003,1
370010201004,1
370010202001,1
370010202002,1
370010202003,1
370010202004,1
370010203011,1
370010203012,1
370010203013,1
370010203021,1
370010203022,1
370010204001,1
370010204002,1
370010204003,1
370010204004,1
370010204005,1
370010205011,1
370010205012,1
370010205021,1
370010205022,1
370010205023,1
370010206011,1
370010206012,1
370010206013,1
370010206021,1
370010206022,1
370010207011,1
370010207012,1
370010207013,1
370010207014,1
370010207021,1
370010207022,1
370010207023,1
370010207024,1
370010208011,1
370010208021,1
370010208022,1
370010208023,1
370010208024,1
370010208025,1
370010208026,1
370010209011,1
370010209012,1
370010209013,1
370010209021,1
370010209022,1
370010210001,1
370010210002,1
370010210003,1
370010211011,1
370010211012,1
370010211013,1
370010211021,1
370010211022,1
370010211023,1
370010212011,11
370010212012,1
370010212013,1
370010212041,1
370010212042,1
370010212051,1
370010212052,11
370010212053,1
370010212061,1
370010212062,1
370010212063,11
370010212071,11
370010212072,11
370010213001,11
370010213002,11
370010213003,11
370010213004,11
370010213005,11
370010214001,1
370010214002,11
370010215001,1
370010215002,11
370010215003,1
370010216001,1
370010216002,1
370010216003,1
370010216004,1
370010217011,1
370010217012,1
370010217021,1
370010217022,1
370010217023,1
370010217031,1
370010217032,1
370010217033,1
370010218011,1
370010218012,13
370010218013,13
370010218021,13
370010218022,13
370010218031,13
370010218032,13
370010219011,1
370010219012,1
370010219013,1
370010219021,13
370010219022,1
370010219023,13
370010220011,1
370010220012,1
370010220021,1
370010220022,1
370010220023,1
370030401001,12
370030401002,12
370030401003,12
370030402001,12
370030402002,12
370030402003,12
370030403001,12
370030403002,12
370030404001,12
370030404002,12
370030404003,12
370030404004,12
370030404005,12
370030405001,12
370030405002,12
370030405003,12
370030405004,12
370030406001,12
370030406002,12
370030406003,12
370030406004,12
370030407001,12
370030407002,12
370030407003,12
370030407004,12
370059501001,12
370059501002,12
370059501003,12
370059501004,12
370059502001,12
370059502002,12
370059502003,12
370059502004,12
370059503001,12
370059503002,12
370059503003,12
370079201001,13
370079201002,13
370079201003,13
370079202001,8
370079203011,8
370079203012,8
370079203013,8
370079203021,8
370079204001,8
370079204002,8
370079204003,13
