#,MAP,CONTIGUOUS,ENERGY,POPDEV,DELTA,SHARED,UOM,ES
16,NE20C_I015K01N03,True,1507181.370771,0.008420,0.000000,1.000000,0.000000,0.000000
1,NE20C_I000K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
2,NE20C_I001K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
3,NE20C_I002K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
4,NE20C_I003K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
6,NE20C_I005K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
7,NE20C_I006K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
9,NE20C_I008K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
13,NE20C_I012K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
19,NE20C_I018K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
20,NE20C_I019K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
22,NE20C_I021K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
23,NE20C_I022K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
25,NE20C_I024K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
28,NE20C_I027K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
29,NE20C_I028K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
30,NE20C_I029K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
31,NE20C_I030K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
32,NE20C_I031K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
33,NE20C_I032K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
35,NE20C_I034K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
36,NE20C_I035K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
37,NE20C_I036K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
38,NE20C_I037K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
39,NE20C_I038K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
40,NE20C_I039K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
43,NE20C_I042K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
44,NE20C_I043K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
45,NE20C_I044K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
46,NE20C_I045K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
49,NE20C_I048K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
51,NE20C_I050K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
53,NE20C_I052K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
54,NE20C_I053K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
55,NE20C_I054K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
56,NE20C_I055K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
60,NE20C_I059K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
61,NE20C_I060K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
62,NE20C_I061K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
63,NE20C_I062K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
66,NE20C_I065K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
67,NE20C_I066K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
68,NE20C_I067K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
71,NE20C_I070K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
74,NE20C_I073K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
76,NE20C_I075K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
77,NE20C_I076K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
78,NE20C_I077K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
79,NE20C_I078K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
82,NE20C_I081K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
83,NE20C_I082K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
84,NE20C_I083K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
85,NE20C_I084K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
86,NE20C_I085K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
87,NE20C_I086K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
89,NE20C_I088K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
90,NE20C_I089K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
93,NE20C_I092K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
94,NE20C_I093K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
96,NE20C_I095K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
99,NE20C_I098K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
100,NE20C_I099K01N03,True,1507521.578039,0.009550,0.000226,0.999623,0.004234,0.000755
