MAP,ENERGY
NJ20C_I000K01N12,257945.472954
NJ20C_I001K01N12,270686.751811
NJ20C_I002K01N12,254420.458191
NJ20C_I003K01N12,253577.256311
NJ20C_I004K01N12,260216.099919
NJ20C_I005K01N12,254556.786539
NJ20C_I006K01N12,273637.598830
NJ20C_I007K01N12,259602.041527
NJ20C_I008K01N12,281212.910153
NJ20C_I009K01N12,252272.441915
NJ20C_I010K01N12,270494.111665
NJ20C_I011K01N12,256741.267551
NJ20C_I012K01N12,261326.597421
NJ20C_I013K01N12,259875.462446
NJ20C_I014K01N12,254498.226949
NJ20C_I015K01N12,260802.247270
NJ20C_I016K01N12,260063.194097
NJ20C_I017K01N12,255570.166515
NJ20C_I019K01N12,253202.734585
NJ20C_I020K01N12,261173.047375
NJ20C_I021K01N12,253853.128350
NJ20C_I022K01N12,266827.218955
NJ20C_I023K01N12,288458.028309
NJ20C_I024K01N12,283422.336813
NJ20C_I025K01N12,285126.320539
NJ20C_I026K01N12,286254.165860
NJ20C_I027K01N12,299893.197869
NJ20C_I028K01N12,252390.916134
NJ20C_I029K01N12,274208.574638
NJ20C_I030K01N12,288775.417735
NJ20C_I031K01N12,286809.167633
NJ20C_I032K01N12,253387.738451
NJ20C_I033K01N12,254514.745807
NJ20C_I034K01N12,286820.918362
NJ20C_I035K01N12,298170.464087
NJ20C_I036K01N12,265829.050481
NJ20C_I037K01N12,252998.528267
NJ20C_I038K01N12,297854.720301
NJ20C_I039K01N12,262678.227767
NJ20C_I040K01N12,274408.179532
NJ20C_I041K01N12,258917.735355
NJ20C_I042K01N12,292157.992755
NJ20C_I043K01N12,285242.879199
NJ20C_I044K01N12,262001.158018
NJ20C_I045K01N12,267071.682129
NJ20C_I046K01N12,253869.306374
NJ20C_I047K01N12,253547.833597
NJ20C_I048K01N12,304323.610882
NJ20C_I049K01N12,266518.582853
NJ20C_I050K01N12,297820.048571
NJ20C_I051K01N12,256538.650740
NJ20C_I052K01N12,262934.365937
NJ20C_I053K01N12,254923.550666
NJ20C_I054K01N12,289743.819163
NJ20C_I055K01N12,253622.412363
NJ20C_I056K01N12,281157.675391
NJ20C_I057K01N12,290226.733418
NJ20C_I058K01N12,261337.295884
NJ20C_I059K01N12,273928.759854
NJ20C_I060K01N12,274411.867685
NJ20C_I061K01N12,268370.068057
NJ20C_I062K01N12,284621.797142
NJ20C_I063K01N12,259289.183791
NJ20C_I064K01N12,285865.356275
NJ20C_I065K01N12,299139.355433
NJ20C_I066K01N12,261742.318758
NJ20C_I067K01N12,253873.874459
NJ20C_I068K01N12,273070.763684
NJ20C_I069K01N12,263467.187344
NJ20C_I070K01N12,255590.919249
NJ20C_I071K01N12,273195.413144
NJ20C_I072K01N12,267534.880342
NJ20C_I073K01N12,290575.483577
NJ20C_I074K01N12,274678.274782
NJ20C_I075K01N12,288510.765978
NJ20C_I076K01N12,258148.159840
NJ20C_I077K01N12,271047.274296
NJ20C_I078K01N12,260261.786284
NJ20C_I079K01N12,254834.471562
NJ20C_I080K01N12,272176.143094
NJ20C_I081K01N12,304677.103401
NJ20C_I082K01N12,293696.997475
NJ20C_I083K01N12,295053.965246
NJ20C_I084K01N12,297675.848072
NJ20C_I085K01N12,253561.903948
NJ20C_I086K01N12,256672.289827
NJ20C_I087K01N12,261724.348379
NJ20C_I088K01N12,284685.653722
NJ20C_I089K01N12,305065.377940
NJ20C_I090K01N12,261338.509066
NJ20C_I091K01N12,254263.458204
NJ20C_I092K01N12,283273.234741
NJ20C_I093K01N12,268798.127103
NJ20C_I094K01N12,290185.683863
NJ20C_I095K01N12,284688.733766
NJ20C_I096K01N12,281687.045593
NJ20C_I097K01N12,286493.813611
NJ20C_I098K01N12,262634.580888
NJ20C_I099K01N12,274727.663800
