GEOID,DISTRICT
35009000036,2
35009000028,2
35009000035,2
35045000030,1
35045000109,1
35006000022,1
35006000021,1
35006000020,1
35006000004,1
35006000006,1
35006000014,1
35006000017,1
35006000029,1
35009000041,2
35009000021,2
35009000009,2
35009000018,2
35009000038,2
35009000039,2
35009000010,2
35009000004,2
35041000006,2
35035000017,2
35035000047,2
35035000059,2
35035000056,2
35035000011,2
35035000022,2
35035000028,2
35035000051,2
35035000030,2
35045000016,1
35045000018,1
35045000014,1
35045000077,1
35045000051,1
35045000011,1
35045000010,1
35045000044,1
35045000057,1
35045000103,1
35045000102,1
35045000090,1
35045000017,1
35045000013,1
35045000036,1
35045000027,1
35045000110,1
35009000031,2
35037000001,2
35009000026,2
35045000006,1
35045000015,1
35045000021,1
35045000059,1
35045000003,1
35009000015,2
35009000023,2
35009000034,2
35025000061,2
35025000036,2
35025000015,2
35025000009,2
35025000013,2
35015000042,2
35025000062,2
35025000071,2
35025000073,2
35025000031,2
35009000032,2
35061000001,1
35061000043,1
35061000040,1
35061000042,1
35061000041,1
35061000003,1
35061000007,1
35061000059,1
35061000039,1
35061000019,1
35061000037,1
35061000052,1
35061000023,1
35061000027,1
35006000015,1
35006000028,1
35006000005,1
35006000026,1
35006000001,1
35006000027,1
35006000019,1
35045000065,1
35045000061,1
35045000008,1
35045000130,1
35045000005,1
35045000060,1
35045000067,1
35045000066,1
35045000007,1
35045000131,1
35045000004,1
35061000014,1
35061000004,1
35061000020,2
35061000051,1
35041000008,2
35061000006,1
35061000060,1
35035000016,2
35035000008,2
35035000057,2
35035000058,2
35035000007,2
35035000005,2
35035000009,2
35035000014,2
35035000055,2
35051000002,2
35035000015,2
35035000019,2
35041000005,2
35005000044,2
35041000009,2
35035000024,2
35035000035,2
35035000018,2
35035000040,2
35035000021,2
35035000004,2
35035000003,2
35041000004,2
35005000045,2
35041000010,2
35025000072,2
35025000012,2
35025000003,2
35005000071,2
35005000013,2
35017000030,2
35017000031,2
35017000033,2
35017000032,2
35005000036,2
35005000105,2
35005000072,2
35005000074,2
35017000012,2
35017000038,2
35017000013,2
35025000054,2
35025000011,2
35013000163,2
35013000164,2
35013000015,2
35013000162,2
35013000016,2
35013000054,2
35013000114,2
35013000064,2
35005000103,2
35005000010,2
35017000008,2
35017000036,2
35017000026,2
35017000027,2
35017000005,2
35017000009,2
35017000004,2
35017000024,2
35025000002,2
35025000014,2
35017000034,2
35017000023,2
35013000017,2
35013000116,2
35013000130,2
35013000059,2
35013000011,2
35013000159,2
35059000009,0
35059000004,0
35059000001,0
35013000019,2
35013000146,2
35029000014,2
35013000082,2
35013000051,2
35013000105,2
35013000122,2
35013000121,2
35013000062,2
35025000016,2
35013000103,2
35013000096,2
35013000074,2
35013000120,2
35013000101,2
35013000066,2
35013000132,2
35013000133,2
35013000053,2
35013000083,2
35013000127,2
35013000135,2
35025000021,2
35025000041,2
35025000043,2
35025000027,2
35025000025,2
35025000042,2
35025000057,2
35025000056,2
35025000020,2
35013000080,2
35013000160,2
35013000022,2
35013000145,2
35013000065,2
35013000131,2
35013000118,2
35013000117,2
35013000119,2
35013000079,2
35013000042,2
35013000071,2
35013000112,2
35013000142,2
35013000139,2
35013000140,2
35013000034,2
35013000001,2
35051000001,2
35041000015,2
35041000019,2
35041000002,2
35053000024,2
35053000027,2
35053000013,2
35053000026,1
35053000021,2
35053000006,2
35053000014,2
35053000011,2
35059000006,0
35025000017,2
35053000012,2
35041000018,2
35009000030,2
35041000014,2
35041000001,2
35041000012,2
35025000044,2
35025000033,2
35025000053,2
35025000059,2
35025000055,2
35025000058,2
35025000052,2
35025000010,2
35025000074,2
35005000012,2
35017000002,2
35059000007,0
35035000020,2
35053000016,2
35053000025,2
35053000015,1
35023000006,2
35023000005,2
35005000025,2
35005000051,2
35025000022,2
35025000019,2
35025000029,2
35025000023,2
35017000037,2
35017000011,2
35005000104,2
35015000040,2
35017000019,2
35017000014,2
35017000016,2
35023000001,2
35006000025,1
35005000101,2
35005000092,2
35005000102,2
35005000106,2
35005000094,2
35005000095,2
35017000028,2
35017000001,2
35017000035,2
35023000003,2
35015000036,2
35015000049,2
35015000019,2
35015000037,2
35015000039,2
35015000006,2
35015000033,2
35015000050,2
35005000001,2
35005000046,2
35005000052,2
35005000034,2
35005000061,2
35005000063,2
35005000064,2
35005000041,2
35031000004,1
35031000005,1
35031000001,1
35031000014,1
35031000013,1
35031000015,1
35031000051,1
35031000008,1
35031000023,1
35031000036,1
35031000035,1
35015000021,2
35015000020,2
35015000025,2
35015000012,2
35015000017,2
35015000014,2
35015000009,2
35015000032,2
35015000007,2
35015000031,2
35015000041,2
35015000001,2
35015000030,2
35015000003,2
35015000053,2
35043000027,1
35043000021,1
35043000118,1
35043000063,1
35043000095,0
35043000020,0
35043000117,1
35043000083,1
35043000062,1
35043000136,1
35043000014,1
35043000026,1
35043000009,0
35043000091,0
35055000001,0
35043000008,0
35043000087,0
35043000001,0
35043000050,0
35043000111,0
35043000135,0
35043000082,0
35043000127,1
35043000069,1
35043000057,1
35001000003,1
35043000033,1
35043000114,0
35043000076,0
35043000133,0
35043000055,0
35043000035,1
35043000004,0
35043000019,0
35043000085,1
35043000138,1
35043000030,1
35043000096,1
35001000174,1
35001000116,1
35001000002,1
35043000022,1
35043000025,1
35043000023,1
35043000139,1
35043000086,1
35043000129,1
35043000128,1
35043000072,1
35006000024,1
35006000007,1
35015000038,2
35015000035,2
35015000002,2
35015000022,2
35015000024,2
35015000004,2
35028000021,0
35028000005,0
35028000018,0
35045000108,1
35045000064,1
35045000076,1
35045000073,1
35006000016,1
35045000072,1
35045000075,1
35045000079,1
35045000074,1
35045000071,1
35055000032,0
35055000028,0
35055000002,0
35031000017,1
35031000016,1
35031000049,1
35031000054,1
35031000050,1
35031000022,1
35031000065,1
35031000058,1
35031000025,1
35047000022,0
35047000031,0
35047000021,0
35047000033,0
35047000014,0
35047000015,2
35047000018,0
35047000020,0
35047000019,0
35047000017,0
35047000032,0
35047000006,0
35047000010,0
35047000024,0
35047000023,0
35047000016,0
35047000012,0
35047000013,0
35007000017,0
35029000012,2
35029000003,2
35029000013,2
35029000016,2
35029000017,2
35029000011,2
35029000015,2
35055000019,0
35055000044,0
35055000021,0
35055000045,0
35055000026,0
35055000047,0
35055000035,0
35055000008,0
35055000009,0
35055000005,0
35055000033,0
35007000003,0
35007000004,0
35007000019,0
35029000001,2
35029000002,2
35031000052,1
35031000018,1
35031000024,1
35031000045,1
35031000055,1
35031000021,1
35031000019,1
35031000056,1
35031000003,1
35031000057,1
35031000039,1
35031000020,1
35031000007,1
35031000006,1
35031000053,1
35055000018,0
35055000043,0
35055000020,0
35055000023,0
35055000036,0
35029000006,2
35029000007,2
35029000005,2
35051000011,2
35051000010,2
35051000005,2
35051000004,2
35057000017,0
35057000005,0
35049000125,0
35001000229,1
35001000264,1
35001000231,1
35001000127,1
35001000606,1
35001000117,1
35001000205,1
35001000085,1
35001000093,1
35001000099,1
35001000213,0
35001000554,0
35001000164,1
35001000211,1
35001000212,1
35001000392,0
35001000539,0
35001000567,0
35001000475,0
35001000477,0
35001000132,1
35001000434,0
35001000183,1
35001000279,1
35027000013,2
35027000002,2
35027000017,2
35027000028,2
35027000015,2
35027000001,2
35027000025,2
35027000007,2
35027000020,2
35027000019,2
35057000007,2
35057000015,2
35049000070,0
35049000111,0
35049000112,0
35049000008,0
35049000119,0
35007000010,0
35007000016,0
35031000012,1
35031000062,1
35031000011,1
35031000002,1
35001000171,1
35001000089,1
35001000172,1
35049000140,0
35049000106,0
35049000064,0
35049000031,0
35049000074,0
35049000092,0
35049000113,0
35049000071,0
35049000065,0
35049000083,0
35049000147,0
35049000152,0
35049000146,0
35049000005,0
35049000012,0
35049000093,0
35049000003,0
35049000004,0
35049000049,0
35031000060,1
35007000007,0
35007000002,0
35057000011,2
35057000003,2
35055000034,0
35055000046,0
35055000022,0
35055000007,0
35055000017,0
35055000042,0
35055000041,0
35031000029,1
35049000013,0
35049000094,0
35049000098,0
35049000034,0
35049000035,0
35049000019,0
35049000007,0
35049000128,0
35055000037,0
35028000001,0
35028000015,0
35028000008,0
35028000007,0
35049000016,0
35001000092,1
35003000006,1
35003000005,2
35003000008,1
35003000007,1
35019000005,2
35027000014,2
35027000016,2
35027000004,2
35027000003,2
35027000027,2
35001000460,0
35001000448,0
35001000507,0
35001000478,0
35027000023,2
35027000011,2
35027000018,2
35027000022,2
35027000005,2
35027000026,2
35007000022,0
35027000012,2
35001000258,0
35001000363,0
35001000094,1
35001000081,1
35001000118,1
35001000530,0
35001000306,0
35001000001,1
35001000129,1
35001000128,1
35001000056,1
35001000137,1
35001000059,1
35001000252,0
35001000232,1
35001000100,1
35001000101,1
35001000161,1
35001000163,1
35021000001,0
35021000003,2
35021000002,0
35027000021,2
35001000425,0
35001000470,0
35001000456,0
35001000467,0
35001000274,0
35001000151,1
35001000155,1
35001000181,1
35001000263,1
35001000313,0
35001000015,0
35001000088,1
35001000250,1
35051000007,2
35051000008,2
35051000009,2
35057000018,0
35057000006,2
35057000008,2
35049000068,0
35049000081,0
35049000129,0
35049000102,0
35049000037,0
35049000101,0
35049000053,0
35049000044,0
35049000110,0
35049000139,0
35049000069,0
35049000036,0
35001000302,0
35001000309,0
35001000269,1
35001000145,1
35001000141,1
35001000144,1
35001000054,1
35001000270,1
35001000143,1
35001000247,1
35001000142,1
35001000268,1
35001000267,1
35001000138,1
35001000130,1
35001000149,1
35001000265,1
35001000036,1
35001000545,0
35001000058,1
35001000136,1
35001000031,1
35001000057,1
35001000018,0
35001000214,1
35001000613,1
35001000017,1
35001000259,0
35001000587,0
35001000586,0
35001000537,0
35001000585,0
35001000603,0
35001000588,0
35001000602,0
35001000011,1
35001000126,1
35001000079,1
35001000179,1
35001000597,0
35001000557,0
35001000577,0
35001000596,0
35001000154,1
35009000020,2
35009000003,2
35037000011,2
35037000012,2
35037000009,2
35011000002,2
35001000569,0
35001000574,0
35001000169,1
35001000030,1
35001000189,1
35001000178,1
35001000025,1
35001000096,1
35001000098,1
35001000109,1
35001000471,0
35001000153,1
35001000074,1
35001000503,0
35001000095,1
35001000375,0
35001000377,0
35001000521,0
35001000292,0
35001000310,0
35001000329,0
35001000323,0
35001000007,0
35001000219,1
35001000370,0
35001000420,0
35001000414,0
35001000303,0
35001000566,0
35001000385,0
35037000007,2
35037000002,2
35037000006,2
35009000001,2
35037000003,2
35037000004,2
35001000412,0
35001000411,0
35029000009,2
35029000010,2
35039000046,0
35039000036,0
35039000027,0
35039000020,0
35039000021,1
35039000019,1
35039000038,0
35039000001,0
35039000045,1
35039000024,1
35039000043,0
35039000002,0
35039000013,0
35039000029,1
35039000026,0
35039000030,1
35011000003,2
35011000001,2
35061000050,2
35061000028,2
35061000049,0
35061000017,1
35061000055,1
35061000054,1
35061000044,1
35045000001,1
35045000009,1
35001000042,1
35001000052,1
35001000224,1
35045000078,1
35045000019,1
35045000052,1
35045000026,1
35045000022,1
35039000041,0
35039000018,0
35035000002,2
35035000013,2
35035000027,2
35035000012,2
35035000038,2
35035000026,2
35039000034,0
35039000016,0
35039000007,0
35039000008,0
35003000001,1
35003000003,2
35013000149,2
35013000073,2
35013000056,2
35013000150,2
35013000040,2
35013000055,2
35013000168,2
35013000169,2
35013000013,2
35013000167,2
35013000043,2
35013000006,2
35013000021,2
35013000134,2
35013000005,2
35009000008,2
35009000002,2
35009000006,2
35061000062,1
35061000057,1
35061000058,1
35061000008,1
35061000056,1
35061000024,1
35061000022,1
35061000016,2
35061000031,2
35061000046,2
35061000033,2
35061000029,2
35061000035,2
35061000015,1
35006000009,1
35035000031,2
35006000018,1
35045000050,1
35045000055,1
35045000035,1
35035000010,2
35035000053,2
35035000054,2
35045000045,1
35045000058,1
35045000080,1
35045000068,1
35045000053,1
35045000105,1
35035000048,2
35035000049,2
35035000001,2
35035000041,2
35035000045,2
35035000046,2
35035000044,2
35035000042,2
35035000043,2
35045000069,1
35061000036,1
35045000020,1
35045000120,1
35045000025,1
35061000026,2
35041000017,2
35015000016,2
35005000023,2
35015000034,2
35015000051,2
35015000018,2
35015000043,2
35015000023,2
35015000029,2
35045000063,1
35041000013,2
35031000009,1
35043000079,0
35043000124,1
35043000067,1
35043000073,1
35043000125,1
35043000068,1
35043000084,1
35043000126,1
35043000137,1
35043000049,1
35043000016,0
35043000024,1
35043000075,1
35043000080,1
35043000134,1
35043000104,1
35043000120,0
35043000065,0
35043000121,0
35017000039,2
35005000085,2
35005000022,2
35007000001,0
35007000008,0
35007000009,0
35031000048,1
35031000063,1
35049000043,0
35013000078,2
35013000151,2
35013000154,2
35013000008,2
35013000138,2
35013000137,2
35013000067,2
35013000136,2
35013000115,2
35013000018,2
35059000008,0
35053000020,2
35013000100,2
35013000007,2
35013000004,2
35013000128,2
35013000129,2
35013000095,2
35013000111,2
35013000084,2
35013000045,2
35013000165,2
35013000014,2
35013000166,2
35013000048,2
35013000106,2
35013000143,2
35013000144,2
35053000009,2
35053000002,2
35053000001,2
35053000019,2
35039000037,0
35039000005,0
35013000003,2
35013000158,2
35013000012,2
35013000157,2
35005000083,2
35005000006,2
35013000155,2
35013000156,2
35013000010,2
35023000004,2
35013000148,2
35013000108,2
35013000093,2
35013000076,2
35013000035,2
35053000005,2
35013000023,2
35043000119,0
35043000064,0
35043000052,0
35043000115,0
35015000013,2
35015000011,2
35007000005,0
35047000026,0
35047000011,0
35047000030,0
35047000003,0
35043000113,0
35043000054,0
35001000012,1
35001000139,1
35001000043,1
35001000236,1
35001000040,1
35001000055,1
35001000233,1
35001000034,1
35001000538,0
35001000006,0
35001000220,0
35001000008,0
35001000469,0
35001000560,0
35049000018,0
35049000030,0
35049000123,0
35043000047,1
35043000109,1
35043000110,1
35043000056,0
35043000099,1
35043000036,1
35043000071,1
35043000131,0
35043000074,0
35043000130,0
35043000132,0
35043000039,1
35043000103,1
35043000029,0
35043000044,1
35043000107,1
35043000059,0
35043000053,0
35047000028,0
35047000008,0
35015000027,2
35015000047,2
35019000004,2
35003000002,1
35003000009,1
35043000028,0
35043000089,0
35043000090,0
35043000005,0
35031000034,1
35031000038,1
35047000007,0
35047000005,0
35031000026,1
35055000030,0
35019000003,2
35019000001,2
35019000002,2
35031000028,1
35031000043,1
35031000044,1
35031000041,1
35043000081,1
35043000108,1
35043000045,1
35031000031,1
35033000008,0
35033000011,0
35033000009,0
35033000010,0
35033000007,0
35043000037,1
35043000100,1
35043000101,1
35043000018,1
35043000078,1
35055000006,0
35055000014,0
35043000098,1
35033000004,0
35049000080,0
35049000145,0
35049000109,0
35049000117,0
35049000077,0
35049000079,0
35039000004,0
35049000011,0
35049000052,0
35049000051,0
35051000012,2
35057000001,2
35049000134,0
35049000107,0
35049000118,0
35049000001,0
35049000085,0
35049000148,0
35057000019,0
35049000122,0
35049000022,0
35057000010,2
35057000004,2
35057000009,2
35047000002,0
35057000012,2
35037000010,2
35029000004,2
35001000045,1
35001000071,1
35001000032,1
35001000190,1
35001000033,1
35001000048,1
35001000234,1
35001000046,1
35001000519,0
35039000035,0
35055000013,0
35055000004,0
35055000003,0
35049000149,0
35049000089,0
35049000086,0
35049000151,0
35027000006,2
35001000326,0
35001000062,1
35001000063,1
35001000286,0
35001000379,0
35001000378,0
35001000591,0
35001000321,0
35001000167,1
35001000023,1
35001000419,0
35001000339,0
35001000474,0
35049000124,0
35049000033,0
35049000027,0
35049000130,0
35049000015,0
35049000039,0
35049000099,0
35001000289,0
35001000350,0
35001000349,0
35001000325,0
35001000391,0
35001000072,1
35001000442,0
35001000443,0
35001000502,0
35001000452,0
35001000562,0
35001000396,0
35001000067,1
35001000131,1
35043000093,1
35043000012,0
35043000013,1
35049000057,0
35049000120,0
35047000029,0
35047000004,0
35031000037,1
35031000033,1
35011000004,2
35039000025,1
35039000023,0
35039000040,0
35039000006,0
35039000012,0
35039000033,0
35039000042,0
35001000251,0
35001000508,0
35001000463,0
35001000316,0
35001000417,0
35001000421,0
35001000415,0
35001000104,1
35001000165,1
35001000278,0
35001000372,0
35001000282,0
35001000492,0
35001000120,1
35001000157,1
35001000158,1
35001000146,1
35001000600,1
35001000140,1
35001000020,1
35001000207,1
35001000428,0
35057000002,2
35001000084,1
35001000200,1
35001000459,0
35001000422,0
35001000589,0
35001000241,0
35001000358,0
35001000004,1
35001000604,1
35001000239,1
35001000147,1
35001000049,1
35001000408,0
35001000086,0
35001000010,0
35001000548,0
35001000393,0
35001000039,1
35001000208,1
35001000111,1
35001000346,0
35001000525,0
35001000009,0
35001000221,1
35001000337,0
35001000327,0
35001000106,1
35001000266,1
35001000103,1
35001000134,1
35001000159,1
35001000399,1
35001000160,1
35001000394,1
35001000599,1
35001000336,0
35001000318,0
35001000273,0
35001000029,1
35001000485,0
35001000487,0
35045000107,1
35045000106,1
35045000031,1
35009000016,2
35009000033,2
35025000032,2
35025000024,2
35025000028,2
35009000025,2
35061000021,2
35061000053,1
35061000025,2
35006000008,1
35061000038,1
35061000030,2
35061000047,2
35045000039,1
35041000003,2
35005000002,2
35017000018,2
35017000025,2
35017000029,2
35013000107,2
35013000152,2
35013000077,2
35013000099,2
35013000063,2
35013000058,2
35013000047,2
35013000039,2
35013000041,2
35013000089,2
35013000061,2
35013000030,2
35013000088,2
35013000087,2
35013000123,2
35025000034,2
35025000026,2
35053000008,2
35053000022,2
35045000101,1
35045000100,1
35045000056,1
35053000004,2
35025000035,2
35017000020,2
35005000014,2
35005000015,2
35005000047,2
35006000023,1
35005000081,2
35005000062,2
35005000073,2
35005000032,2
35005000024,2
35005000031,2
35015000026,2
35045000049,1
35045000104,1
35045000012,1
35028000004,0
35031000010,1
35031000061,1
35007000014,0
35031000046,1
35057000016,2
35029000008,2
35001000202,1
35001000114,1
35001000605,1
35001000260,1
35001000091,1
35001000410,0
35001000466,0
35051000003,2
35001000065,1
35001000248,1
35001000173,1
35001000078,1
35001000556,0
35001000555,0
35001000573,0
35049000135,0
35049000066,0
35049000136,0
35049000038,0
35049000108,0
35049000096,0
35049000029,0
35049000072,0
35049000114,0
35031000030,1
35049000054,0
35049000103,0
35015000008,2
35055000011,0
35028000013,0
35028000012,0
35028000011,0
35028000010,0
35028000016,0
35001000426,0
35001000584,0
35001000505,0
35001000367,1
35001000060,1
35001000148,1
35001000484,0
35001000465,0
35001000197,1
35001000608,0
35001000541,0
35001000501,0
35001000572,0
35001000021,1
35001000209,1
35001000324,0
35001000319,0
35001000364,0
35001000365,0
35001000262,1
35001000135,1
35001000551,2
35001000552,0
35001000314,0
35001000594,0
35001000447,0
35001000479,0
35051000006,2
35049000056,0
35049000105,0
35049000133,0
35049000067,0
35049000138,0
35049000137,0
35049000045,0
35001000121,1
35001000170,1
35001000087,1
35001000261,1
35001000176,1
