#,MAP,CONTIGUOUS,ENERGY,POPDEV,DELTA,SHARED,UOM,ES
72,NY20C_I071K01N26,True,3609116.536561,0.002520,0.000000,1.000000,0.000000,0.000000
77,NY20C_I076K01N26,True,3609992.300811,0.003400,0.000243,0.866355,0.480455,0.366726
61,NY20C_I060K01N26,True,3615409.294686,0.003970,0.001744,0.830396,0.564749,0.474204
87,NY20C_I086K01N26,True,3617797.913942,0.002760,0.002405,0.873616,0.467057,0.372132
19,NY20C_I018K01N26,True,3620221.267352,0.005190,0.003077,0.885747,0.487406,0.304709
68,NY20C_I067K01N26,True,3623994.569813,0.002570,0.004122,0.812151,0.595790,0.480330
86,NY20C_I085K01N26,True,3628758.172874,0.003300,0.005442,0.931099,0.354853,0.162781
26,NY20C_I025K01N26,True,3629070.859055,0.002770,0.005529,0.851758,0.524624,0.385475
50,NY20C_I049K01N26,True,3630243.910969,0.002810,0.005854,0.881238,0.470064,0.297171
71,NY20C_I070K01N26,True,3632771.440563,0.002600,0.006554,0.880595,0.467118,0.297853
4,NY20C_I003K01N26,True,3633943.643232,0.045470,0.006879,0.892215,0.501624,0.264994
31,NY20C_I030K01N26,True,3635154.963276,0.003220,0.007215,0.867015,0.543614,0.338639
88,NY20C_I087K01N26,True,3636226.777264,0.004830,0.007512,0.834650,0.633066,0.444949
11,NY20C_I010K01N26,True,3636277.779317,0.006150,0.007526,0.902170,0.423695,0.248459
22,NY20C_I021K01N26,True,3637066.487934,0.002710,0.007744,0.832499,0.618283,0.448998
20,NY20C_I019K01N26,True,3639493.613870,0.005440,0.008417,0.833492,0.554176,0.427643
3,NY20C_I002K01N26,True,3640442.165163,0.004370,0.008680,0.818831,0.668988,0.489340
91,NY20C_I090K01N26,True,3642929.338415,0.003520,0.009369,0.819583,0.604818,0.541177
7,NY20C_I006K01N26,True,3643124.723178,0.005120,0.009423,0.827977,0.662390,0.464954
83,NY20C_I082K01N26,True,3644246.566317,0.002890,0.009734,0.821254,0.672373,0.474428
81,NY20C_I080K01N26,True,3644675.321784,0.002730,0.009852,0.906316,0.413725,0.214567
9,NY20C_I008K01N26,True,3646070.288854,0.040420,0.010239,0.871046,0.534026,0.323918
60,NY20C_I059K01N26,True,3648149.878317,0.006940,0.010815,0.820249,0.701072,0.487808
92,NY20C_I091K01N26,True,3649259.933372,0.034670,0.011123,0.812320,0.715620,0.491907
49,NY20C_I048K01N26,True,3651069.810260,0.008450,0.011624,0.837856,0.615623,0.424842
33,NY20C_I032K01N26,True,3655680.510063,0.007660,0.012902,0.782954,0.745356,0.607746
35,NY20C_I034K01N26,True,3657704.624359,0.012950,0.013463,0.833203,0.643054,0.470985
36,NY20C_I035K01N26,True,3659258.902747,0.003730,0.013893,0.822123,0.679693,0.495212
40,NY20C_I039K01N26,True,3662657.508881,0.003050,0.014835,0.818440,0.663176,0.477023
37,NY20C_I036K01N26,True,3663149.214333,0.034210,0.014971,0.785784,0.749033,0.610323
39,NY20C_I038K01N26,True,3663339.146130,0.003100,0.015024,0.751625,0.793771,0.649460
42,NY20C_I041K01N26,True,3664322.068550,0.003000,0.015296,0.856507,0.581873,0.359174
55,NY20C_I054K01N26,True,3665247.279680,0.003940,0.015552,0.787121,0.726697,0.552370
34,NY20C_I033K01N26,True,3667753.920218,0.004020,0.016247,0.868223,0.539976,0.336982
67,NY20C_I066K01N26,True,3671059.067239,0.003450,0.017163,0.834334,0.616870,0.449197
53,NY20C_I052K01N26,True,3671342.548398,0.007230,0.017241,0.728003,0.823384,0.721326
13,NY20C_I012K01N26,True,3671499.485467,0.035500,0.017285,0.819875,0.659231,0.448855
99,NY20C_I098K01N26,True,3673307.288490,0.009510,0.017786,0.826436,0.642620,0.448312
16,NY20C_I015K01N26,True,3675843.940561,0.002380,0.018489,0.761491,0.821786,0.664955
84,NY20C_I083K01N26,True,3676458.899832,0.007230,0.018659,0.733551,0.845430,0.713056
28,NY20C_I027K01N26,True,3679675.531483,0.002020,0.019550,0.830226,0.629801,0.428771
23,NY20C_I022K01N26,True,3680608.943354,0.008310,0.019809,0.723246,0.832969,0.725922
14,NY20C_I013K01N26,True,3684298.715992,0.005880,0.020831,0.798150,0.724060,0.560922
18,NY20C_I017K01N26,True,3688167.028886,0.041250,0.021903,0.765289,0.752879,0.605199
12,NY20C_I011K01N26,True,3688906.994161,0.026560,0.022108,0.871717,0.559393,0.318067
29,NY20C_I028K01N26,True,3689228.046517,0.008740,0.022197,0.834089,0.657045,0.429356
24,NY20C_I023K01N26,True,3689482.899276,0.045180,0.022268,0.800024,0.713797,0.510717
78,NY20C_I077K01N26,True,3695000.365704,0.003130,0.023796,0.763783,0.798927,0.650493
44,NY20C_I043K01N26,True,3697566.292311,0.039670,0.024507,0.744527,0.785464,0.661349
58,NY20C_I057K01N26,True,3702592.311777,0.016950,0.025900,0.820359,0.660603,0.446909
90,NY20C_I089K01N26,True,3703243.632277,0.003070,0.026080,0.711902,0.892454,0.768377
70,NY20C_I069K01N26,True,3708920.463811,0.003360,0.027653,0.746274,0.842446,0.676471
5,NY20C_I004K01N26,True,3855974.496834,0.004420,0.068398,0.821955,0.658871,0.461749
94,NY20C_I093K01N26,True,3879774.595880,0.005680,0.074993,0.791805,0.717142,0.521722
93,NY20C_I092K01N26,True,3885810.959726,0.035450,0.076665,0.678873,0.921985,0.864236
