#,MAP,CONTIGUOUS,ENERGY,POPDEV,DELTA,SHARED,UOM,ES
43,OH20C_I042K01N15,True,3167559.664911,0.001750,0.000000,1.000000,0.000000,0.000000
62,OH20C_I061K01N15,True,3167978.889232,0.002610,0.000132,0.898666,0.470898,0.254814
25,OH20C_I024K01N15,True,3168899.385867,0.002450,0.000423,0.921310,0.444668,0.177891
85,OH20C_I084K01N15,True,3170239.789041,0.001680,0.000846,0.921009,0.449305,0.179810
91,OH20C_I090K01N15,True,3171041.620873,0.002730,0.001099,0.906933,0.476726,0.227572
64,OH20C_I063K01N15,True,3186684.162500,0.002670,0.006038,0.896073,0.543028,0.246333
12,OH20C_I011K01N15,True,3187280.217228,0.001930,0.006226,0.898850,0.403112,0.224150
79,OH20C_I078K01N15,True,3188136.944385,0.001860,0.006496,0.872292,0.629625,0.310125
36,OH20C_I035K01N15,True,3188153.498130,0.002610,0.006501,0.924727,0.434526,0.167874
73,OH20C_I072K01N15,True,3189896.506502,0.002120,0.007052,0.871524,0.545082,0.296654
19,OH20C_I018K01N15,True,3189963.235177,0.001970,0.007073,0.741843,0.865578,0.682502
83,OH20C_I082K01N15,True,3190614.851092,0.003210,0.007279,0.791994,0.685607,0.541746
1,OH20C_I000K01N15,True,3190768.364709,0.003550,0.007327,0.804263,0.802080,0.512864
95,OH20C_I094K01N15,True,3190970.118473,0.002350,0.007391,0.939601,0.357075,0.133851
37,OH20C_I036K01N15,True,3194424.542182,0.001530,0.008481,0.731108,0.878194,0.715181
71,OH20C_I070K01N15,True,3196521.212103,0.002600,0.009143,0.831427,0.693673,0.436666
80,OH20C_I079K01N15,True,3199319.871984,0.002820,0.010027,0.804001,0.774220,0.521305
49,OH20C_I048K01N15,True,3200361.779015,0.002410,0.010356,0.891591,0.565441,0.250972
30,OH20C_I029K01N15,True,3202447.081001,0.002900,0.011014,0.691781,1.000089,0.800284
34,OH20C_I033K01N15,True,3203414.486717,0.001960,0.011319,0.743190,0.819597,0.691289
94,OH20C_I093K01N15,True,3205409.795429,0.002940,0.011949,0.782881,0.860424,0.587818
67,OH20C_I066K01N15,True,3206372.193726,0.002310,0.012253,0.904509,0.504599,0.222167
56,OH20C_I055K01N15,True,3206396.912335,0.001810,0.012261,0.829222,0.762323,0.444807
98,OH20C_I097K01N15,True,3206812.376769,0.002200,0.012392,0.845114,0.718704,0.389559
