#,MAP,CONTIGUOUS,ENERGY,POPDEV,DELTA,SHARED,UOM,ES
7,OR20C_I006K01N06,True,2361832.447993,0.004820,0.000000,1.000000,0.000000,0.000000
52,OR20C_I051K01N06,True,2361832.447993,0.004820,0.000000,1.000000,0.000000,0.000000
61,OR20C_I060K01N06,True,2361832.447993,0.004820,0.000000,1.000000,0.000000,0.000000
66,OR20C_I065K01N06,True,2361832.447993,0.004820,0.000000,1.000000,0.000000,0.000000
69,OR20C_I068K01N06,True,2361832.447993,0.004820,0.000000,1.000000,0.000000,0.000000
73,OR20C_I072K01N06,True,2361832.447993,0.004820,0.000000,1.000000,0.000000,0.000000
1,OR20C_I000K01N06,True,2361880.500923,0.004860,0.000020,0.999633,0.004121,0.000735
23,OR20C_I022K01N06,True,2361880.500923,0.004860,0.000020,0.999633,0.004121,0.000735
26,OR20C_I025K01N06,True,2361880.500923,0.004860,0.000020,0.999633,0.004121,0.000735
30,OR20C_I029K01N06,True,2361880.500923,0.004860,0.000020,0.999633,0.004121,0.000735
34,OR20C_I033K01N06,True,2361880.500923,0.004860,0.000020,0.999633,0.004121,0.000735
55,OR20C_I054K01N06,True,2361880.500923,0.004860,0.000020,0.999633,0.004121,0.000735
59,OR20C_I058K01N06,True,2361880.500923,0.004860,0.000020,0.999633,0.004121,0.000735
65,OR20C_I064K01N06,True,2361880.500923,0.004860,0.000020,0.999633,0.004121,0.000735
87,OR20C_I086K01N06,True,2361880.500923,0.004860,0.000020,0.999633,0.004121,0.000735
99,OR20C_I098K01N06,True,2361880.500923,0.004860,0.000020,0.999633,0.004121,0.000735
71,OR20C_I070K01N06,True,2372902.862345,0.001570,0.004687,0.817076,0.620514,0.496223
49,OR20C_I048K01N06,True,2372902.862345,0.001570,0.004687,0.817076,0.620514,0.496223
3,OR20C_I002K01N06,True,2372902.862345,0.001570,0.004687,0.817076,0.620514,0.496223
15,OR20C_I014K01N06,True,2372902.862345,0.001570,0.004687,0.817076,0.620514,0.496223
16,OR20C_I015K01N06,True,2372902.862345,0.001570,0.004687,0.817076,0.620514,0.496223
21,OR20C_I020K01N06,True,2372902.862345,0.001570,0.004687,0.817076,0.620514,0.496223
4,OR20C_I003K01N06,True,2372902.862345,0.001570,0.004687,0.817076,0.620514,0.496223
8,OR20C_I007K01N06,True,2373271.002189,0.003780,0.004843,0.816505,0.620440,0.497209
45,OR20C_I044K01N06,True,2373271.002189,0.003780,0.004843,0.816505,0.620440,0.497209
68,OR20C_I067K01N06,True,2373271.002189,0.003780,0.004843,0.816505,0.620440,0.497209
22,OR20C_I021K01N06,True,2373354.240782,0.003570,0.004878,0.817434,0.616951,0.495320
20,OR20C_I019K01N06,True,2373354.240782,0.003570,0.004878,0.817434,0.616951,0.495320
96,OR20C_I095K01N06,True,2373354.240782,0.003570,0.004878,0.817434,0.616951,0.495320
67,OR20C_I066K01N06,True,2373354.240782,0.003570,0.004878,0.817434,0.616951,0.495320
80,OR20C_I079K01N06,True,2373354.240782,0.003570,0.004878,0.817434,0.616951,0.495320
12,OR20C_I011K01N06,True,2373543.581275,0.002930,0.004958,0.817369,0.616866,0.495451
18,OR20C_I017K01N06,True,2373543.581275,0.002930,0.004958,0.817369,0.616866,0.495451
51,OR20C_I050K01N06,True,2373852.359377,0.002620,0.005089,0.816140,0.629045,0.498262
44,OR20C_I043K01N06,True,2373852.359377,0.002620,0.005089,0.816140,0.629045,0.498262
93,OR20C_I092K01N06,True,2373852.359377,0.002620,0.005089,0.816140,0.629045,0.498262
5,OR20C_I004K01N06,True,2373852.359377,0.002620,0.005089,0.816140,0.629045,0.498262
25,OR20C_I024K01N06,True,2373852.359377,0.002620,0.005089,0.816140,0.629045,0.498262
27,OR20C_I026K01N06,True,2373852.359377,0.002620,0.005089,0.816140,0.629045,0.498262
70,OR20C_I069K01N06,True,2373852.359377,0.002620,0.005089,0.816140,0.629045,0.498262
91,OR20C_I090K01N06,True,2373852.359377,0.002620,0.005089,0.816140,0.629045,0.498262
94,OR20C_I093K01N06,True,2373852.359377,0.002620,0.005089,0.816140,0.629045,0.498262
19,OR20C_I018K01N06,True,2373852.359377,0.002620,0.005089,0.816140,0.629045,0.498262
41,OR20C_I040K01N06,True,2373852.359377,0.002620,0.005089,0.816140,0.629045,0.498262
10,OR20C_I009K01N06,True,2373852.359377,0.002620,0.005089,0.816140,0.629045,0.498262
88,OR20C_I087K01N06,True,2373852.359377,0.002620,0.005089,0.816140,0.629045,0.498262
64,OR20C_I063K01N06,True,2373852.359377,0.002620,0.005089,0.816140,0.629045,0.498262
38,OR20C_I037K01N06,True,2373852.359377,0.002620,0.005089,0.816140,0.629045,0.498262
85,OR20C_I084K01N06,True,2373852.359377,0.002620,0.005089,0.816140,0.629045,0.498262
32,OR20C_I031K01N06,True,2373852.359377,0.002620,0.005089,0.816140,0.629045,0.498262
36,OR20C_I035K01N06,True,2373852.359377,0.002620,0.005089,0.816140,0.629045,0.498262
24,OR20C_I023K01N06,True,2373852.359377,0.002620,0.005089,0.816140,0.629045,0.498262
78,OR20C_I077K01N06,True,2373852.359377,0.002620,0.005089,0.816140,0.629045,0.498262
28,OR20C_I027K01N06,True,2374493.078308,0.003330,0.005361,0.816433,0.625397,0.497489
82,OR20C_I081K01N06,True,2374493.078308,0.003330,0.005361,0.816433,0.625397,0.497489
56,OR20C_I055K01N06,True,2374493.078308,0.003330,0.005361,0.816433,0.625397,0.497489
72,OR20C_I071K01N06,True,2374493.078308,0.003330,0.005361,0.816433,0.625397,0.497489
42,OR20C_I041K01N06,True,2374493.078308,0.003330,0.005361,0.816433,0.625397,0.497489
74,OR20C_I073K01N06,True,2378545.261201,0.004380,0.007076,0.782633,0.652203,0.580716
6,OR20C_I005K01N06,True,2379313.275958,0.001640,0.007401,0.782288,0.653286,0.587268
29,OR20C_I028K01N06,True,2379345.529093,0.003500,0.007415,0.782056,0.653519,0.588091
60,OR20C_I059K01N06,True,2379539.273769,0.004870,0.007497,0.782392,0.650459,0.587061
84,OR20C_I083K01N06,True,2379622.292470,0.002990,0.007532,0.779784,0.662605,0.599370
100,OR20C_I099K01N06,True,2379682.225434,0.005410,0.007558,0.781623,0.656960,0.594284
76,OR20C_I075K01N06,True,2379785.646146,0.001680,0.007601,0.780525,0.658211,0.597474
50,OR20C_I049K01N06,True,2379842.753049,0.005720,0.007626,0.781623,0.653759,0.590639
11,OR20C_I010K01N06,True,2379898.918541,0.003440,0.007649,0.782009,0.655400,0.593501
14,OR20C_I013K01N06,True,2379901.019703,0.001760,0.007650,0.781776,0.656167,0.593499
46,OR20C_I045K01N06,True,2380042.883568,0.002850,0.007710,0.781840,0.655871,0.593739
39,OR20C_I038K01N06,True,2380095.807292,0.002290,0.007733,0.781468,0.656226,0.595017
43,OR20C_I042K01N06,True,2380138.595261,0.003970,0.007751,0.780257,0.659492,0.599923
58,OR20C_I057K01N06,True,2380199.857427,0.002660,0.007777,0.781347,0.657052,0.597018
33,OR20C_I032K01N06,True,2380395.323988,0.003780,0.007860,0.781425,0.653920,0.594873
17,OR20C_I016K01N06,True,2380425.693919,0.002850,0.007872,0.781167,0.658981,0.603183
90,OR20C_I089K01N06,True,2380498.858420,0.001880,0.007903,0.781167,0.658959,0.603126
40,OR20C_I039K01N06,True,2380498.858421,0.001880,0.007903,0.781167,0.658959,0.603126
98,OR20C_I097K01N06,True,2380498.858421,0.001880,0.007903,0.781167,0.658959,0.603126
97,OR20C_I096K01N06,True,2380502.414407,0.006990,0.007905,0.781519,0.654984,0.597621
37,OR20C_I036K01N06,True,2380502.414407,0.006990,0.007905,0.781519,0.654984,0.597621
63,OR20C_I062K01N06,True,2380538.959643,0.000500,0.007920,0.780512,0.659889,0.605099
83,OR20C_I082K01N06,True,2380538.959643,0.000500,0.007920,0.780512,0.659889,0.605099
86,OR20C_I085K01N06,True,2380538.959643,0.000500,0.007920,0.780512,0.659889,0.605099
9,OR20C_I008K01N06,True,2380538.959643,0.000500,0.007920,0.780512,0.659889,0.605099
35,OR20C_I034K01N06,True,2380538.959643,0.000500,0.007920,0.780512,0.659889,0.605099
92,OR20C_I091K01N06,True,2380538.959643,0.000500,0.007920,0.780512,0.659889,0.605099
48,OR20C_I047K01N06,True,2380538.959643,0.000500,0.007920,0.780512,0.659889,0.605099
75,OR20C_I074K01N06,True,2380538.959643,0.000500,0.007920,0.780512,0.659889,0.605099
89,OR20C_I088K01N06,True,2380538.959643,0.000500,0.007920,0.780512,0.659889,0.605099
54,OR20C_I053K01N06,True,2380538.959643,0.000500,0.007920,0.780512,0.659889,0.605099
13,OR20C_I012K01N06,True,2380612.133412,0.001710,0.007951,0.780512,0.659870,0.605050
2,OR20C_I001K01N06,True,2380612.133412,0.001710,0.007951,0.780512,0.659870,0.605050
31,OR20C_I030K01N06,True,2380612.133412,0.001710,0.007951,0.780512,0.659870,0.605050
47,OR20C_I046K01N06,True,2380612.133412,0.001710,0.007951,0.780512,0.659870,0.605050
81,OR20C_I080K01N06,True,2380612.133412,0.001710,0.007951,0.780512,0.659870,0.605050
79,OR20C_I078K01N06,True,2380612.133412,0.001710,0.007951,0.780512,0.659870,0.605050
57,OR20C_I056K01N06,True,2380799.013166,0.001570,0.008030,0.780989,0.657124,0.603478
95,OR20C_I094K01N06,True,2380799.013166,0.001570,0.008030,0.780989,0.657124,0.603478
62,OR20C_I061K01N06,True,2380799.013166,0.001570,0.008030,0.780989,0.657124,0.603478
53,OR20C_I052K01N06,True,2381130.743604,0.002790,0.008171,0.780805,0.656152,0.604210
77,OR20C_I076K01N06,True,2381130.743604,0.002790,0.008171,0.780805,0.656152,0.604210
