MAP,ENERGY
PA20C_I000K01N17,1345953.032945
PA20C_I001K01N17,1371866.031544
PA20C_I002K01N17,1391990.267870
PA20C_I003K01N17,1346216.938610
PA20C_I004K01N17,1425868.608480
PA20C_I005K01N17,1343229.476806
PA20C_I006K01N17,1375977.026712
PA20C_I007K01N17,1453501.413722
PA20C_I008K01N17,1363242.742792
PA20C_I009K01N17,1378998.942920
PA20C_I010K01N17,1361429.673037
PA20C_I011K01N17,1347353.490288
PA20C_I012K01N17,1366084.599107
PA20C_I013K01N17,1362220.727769
PA20C_I014K01N17,1360697.510529
PA20C_I015K01N17,1345934.275580
PA20C_I016K01N17,1358582.780290
PA20C_I017K01N17,1351518.240900
PA20C_I018K01N17,1343553.736649
PA20C_I019K01N17,1409173.940105
PA20C_I020K01N17,1360530.004040
PA20C_I021K01N17,1363619.392236
PA20C_I022K01N17,1356995.083580
PA20C_I023K01N17,1369862.939167
PA20C_I024K01N17,1384302.502949
PA20C_I025K01N17,1374426.987422
PA20C_I026K01N17,1346636.312003
PA20C_I027K01N17,1361354.023142
PA20C_I028K01N17,1392655.436546
PA20C_I029K01N17,1356091.245192
PA20C_I030K01N17,1355109.772398
PA20C_I031K01N17,1358920.820784
PA20C_I032K01N17,1353800.361320
PA20C_I033K01N17,1346265.057795
PA20C_I034K01N17,1350209.003408
PA20C_I035K01N17,1353453.420975
PA20C_I036K01N17,1410837.315671
PA20C_I037K01N17,1360525.075304
PA20C_I038K01N17,1373664.312330
PA20C_I039K01N17,1348102.815401
PA20C_I040K01N17,1359684.424503
PA20C_I041K01N17,1427245.787460
PA20C_I042K01N17,1470597.316140
PA20C_I043K01N17,1428981.422367
PA20C_I044K01N17,1351047.720058
PA20C_I045K01N17,1356996.270020
PA20C_I046K01N17,1356397.103179
PA20C_I047K01N17,1360404.871404
PA20C_I048K01N17,1351761.184759
PA20C_I049K01N17,1349270.930427
PA20C_I050K01N17,1347335.084951
PA20C_I051K01N17,1349618.381297
PA20C_I052K01N17,1356043.208658
PA20C_I053K01N17,1362177.020523
PA20C_I054K01N17,1367476.400605
PA20C_I055K01N17,1428497.991684
PA20C_I056K01N17,1362231.660876
PA20C_I057K01N17,1435654.447439
PA20C_I058K01N17,1346550.227335
PA20C_I059K01N17,1367257.024283
PA20C_I060K01N17,1412851.125131
PA20C_I061K01N17,1356971.120151
PA20C_I062K01N17,1427405.432919
PA20C_I063K01N17,1435926.136479
PA20C_I064K01N17,1365306.185495
PA20C_I065K01N17,1350631.077389
PA20C_I066K01N17,1343520.302341
PA20C_I067K01N17,1358665.859096
PA20C_I068K01N17,1356464.717262
PA20C_I069K01N17,1356911.833186
PA20C_I070K01N17,1347181.278646
PA20C_I071K01N17,1365366.570587
PA20C_I072K01N17,1356576.219331
PA20C_I073K01N17,1372851.958329
PA20C_I074K01N17,1360884.200321
PA20C_I075K01N17,1374579.828823
PA20C_I076K01N17,1341210.501172
PA20C_I077K01N17,1415053.257660
PA20C_I078K01N17,1359298.671586
PA20C_I079K01N17,1366269.977145
PA20C_I080K01N17,1428570.304354
PA20C_I081K01N17,1355900.884252
PA20C_I082K01N17,1435135.315318
PA20C_I083K01N17,1366086.681312
PA20C_I084K01N17,1338609.982594
PA20C_I085K01N17,1355626.451929
PA20C_I086K01N17,1364755.038661
PA20C_I087K01N17,1356415.730535
PA20C_I088K01N17,1377239.565536
PA20C_I089K01N17,1355366.384890
PA20C_I090K01N17,1355957.226553
PA20C_I091K01N17,1355503.525281
PA20C_I092K01N17,1352277.174102
PA20C_I093K01N17,1355978.977169
PA20C_I094K01N17,1347273.722011
PA20C_I095K01N17,1421857.359970
PA20C_I096K01N17,1381316.178032
PA20C_I097K01N17,1351903.203906
PA20C_I098K01N17,1353906.576294
PA20C_I099K01N17,1381694.867246
