#,MAP,CONTIGUOUS,ENERGY,POPDEV,DELTA,SHARED,UOM,ES
77,SC20C_I076K01N07,True,1881766.811619,0.004180,0.000000,1.000000,0.000000,0.000000
20,SC20C_I019K01N07,True,1882023.126932,0.000740,0.000136,0.995701,0.041125,0.008655
88,SC20C_I087K01N07,True,1882071.819422,0.002800,0.000162,0.994295,0.051603,0.011570
17,SC20C_I016K01N07,True,1882081.219712,0.003440,0.000167,0.995431,0.042448,0.009205
27,SC20C_I026K01N07,True,1882413.346862,0.002850,0.000344,0.996261,0.035060,0.007524
40,SC20C_I039K01N07,True,1882440.386532,0.003580,0.000358,0.993896,0.057026,0.012309
61,SC20C_I060K01N07,True,1882526.408184,0.004420,0.000404,0.994729,0.047755,0.010626
8,SC20C_I007K01N07,True,1882542.082953,0.004770,0.000412,0.994070,0.054836,0.011952
65,SC20C_I064K01N07,True,1882637.309031,0.003110,0.000463,0.993824,0.052966,0.012498
5,SC20C_I004K01N07,True,1882670.133840,0.004630,0.000480,0.992688,0.064180,0.014772
7,SC20C_I006K01N07,True,1883134.872523,0.004330,0.000727,0.992294,0.065844,0.015615
58,SC20C_I057K01N07,True,1883290.892711,0.003210,0.000810,0.993192,0.058969,0.013790
67,SC20C_I066K01N07,True,1883426.554890,0.002860,0.000882,0.993161,0.059722,0.013846
63,SC20C_I062K01N07,True,1883466.345808,0.003460,0.000903,0.993310,0.057938,0.013563
51,SC20C_I050K01N07,True,1883642.724489,0.002890,0.000997,0.989858,0.086839,0.020521
52,SC20C_I051K01N07,True,1884195.452078,0.005850,0.001291,0.983779,0.125595,0.033080
9,SC20C_I008K01N07,True,1884944.832417,0.003660,0.001689,0.978282,0.157960,0.045012
53,SC20C_I052K01N07,True,1887650.649410,0.003850,0.003127,0.970189,0.208041,0.063329
28,SC20C_I027K01N07,True,1888953.435237,0.005000,0.003819,0.979024,0.142315,0.043252
26,SC20C_I025K01N07,True,1892459.956468,0.004510,0.005683,0.946324,0.304486,0.122731
90,SC20C_I089K01N07,True,1893786.569607,0.002050,0.006387,0.941913,0.327497,0.133673
87,SC20C_I086K01N07,True,1895114.849953,0.002480,0.007093,0.940204,0.339023,0.137106
23,SC20C_I022K01N07,True,1895739.141105,0.004620,0.007425,0.940078,0.338006,0.138031
48,SC20C_I047K01N07,True,1895739.141105,0.004620,0.007425,0.940078,0.338006,0.138031
14,SC20C_I013K01N07,True,1895896.134478,0.003490,0.007509,0.941346,0.331184,0.135014
19,SC20C_I018K01N07,True,1895898.221584,0.004370,0.007510,0.939427,0.341615,0.139387
95,SC20C_I094K01N07,True,1896701.153700,0.003150,0.007936,0.969839,0.185854,0.062954
80,SC20C_I079K01N07,True,1897095.149097,0.003590,0.008146,0.939804,0.339286,0.138365
12,SC20C_I011K01N07,True,1897095.149097,0.003590,0.008146,0.939804,0.339286,0.138365
13,SC20C_I012K01N07,True,1897095.149097,0.003590,0.008146,0.939804,0.339286,0.138365
100,SC20C_I099K01N07,True,1897095.149097,0.003590,0.008146,0.939804,0.339286,0.138365
56,SC20C_I055K01N07,True,1897095.149097,0.003590,0.008146,0.939804,0.339286,0.138365
45,SC20C_I044K01N07,True,1897095.149097,0.003590,0.008146,0.939804,0.339286,0.138365
74,SC20C_I073K01N07,True,1897111.829553,0.003590,0.008155,0.939759,0.339525,0.138467
46,SC20C_I045K01N07,True,1897111.829553,0.003590,0.008155,0.939759,0.339525,0.138467
41,SC20C_I040K01N07,True,1904023.966433,0.002580,0.011828,0.960986,0.224301,0.082388
34,SC20C_I033K01N07,True,1911539.527807,0.002570,0.015822,0.919111,0.434436,0.189320
92,SC20C_I091K01N07,True,1928581.227206,0.001730,0.024878,0.893071,0.440987,0.272565
75,SC20C_I074K01N07,True,1939475.463088,0.003900,0.030667,0.873238,0.514199,0.325714
32,SC20C_I031K01N07,True,1940542.997259,0.001910,0.031235,0.870366,0.530081,0.333891
82,SC20C_I081K01N07,True,1940892.944721,0.004510,0.031421,0.871438,0.522752,0.331388
31,SC20C_I030K01N07,True,1944706.804828,0.002300,0.033447,0.862803,0.570594,0.357282
68,SC20C_I067K01N07,True,1950766.029369,0.009460,0.036667,0.846231,0.622952,0.411133
99,SC20C_I098K01N07,True,1950822.985689,0.009460,0.036698,0.845325,0.628488,0.413335
24,SC20C_I023K01N07,True,1951196.728887,0.002770,0.036896,0.847835,0.620090,0.405720
79,SC20C_I078K01N07,True,1951442.889012,0.003050,0.037027,0.844911,0.630686,0.414442
39,SC20C_I038K01N07,True,1951858.706140,0.003050,0.037248,0.844968,0.629439,0.413856
29,SC20C_I028K01N07,True,1955516.493871,0.006070,0.039192,0.842343,0.654529,0.418405
70,SC20C_I069K01N07,True,1960081.653774,0.005020,0.041618,0.835045,0.678650,0.439389
64,SC20C_I063K01N07,True,2016731.054391,0.003420,0.071722,0.781362,0.706802,0.618473
1,SC20C_I000K01N07,True,2016813.574638,0.003870,0.071766,0.780829,0.712976,0.619975
10,SC20C_I009K01N07,True,2017140.996654,0.003700,0.071940,0.779556,0.708510,0.622344
15,SC20C_I014K01N07,True,2017183.227611,0.003150,0.071962,0.779123,0.711562,0.623388
71,SC20C_I070K01N07,True,2017256.766670,0.006150,0.072001,0.779198,0.710921,0.623528
4,SC20C_I003K01N07,True,2017871.486289,0.003600,0.072328,0.778673,0.712888,0.625066
55,SC20C_I054K01N07,True,2018790.534266,0.004820,0.072817,0.775635,0.725758,0.633723
33,SC20C_I032K01N07,True,2018836.235626,0.002320,0.072841,0.774967,0.730299,0.636333
6,SC20C_I005K01N07,True,2018836.235626,0.002320,0.072841,0.774967,0.730299,0.636333
97,SC20C_I096K01N07,True,2018839.247328,0.003120,0.072842,0.755522,0.840690,0.668272
96,SC20C_I095K01N07,True,2019133.726297,0.002320,0.072999,0.774749,0.731165,0.636896
76,SC20C_I075K01N07,True,2019133.726297,0.002320,0.072999,0.774749,0.731165,0.636896
38,SC20C_I037K01N07,True,2019203.653548,0.004820,0.073036,0.775450,0.726483,0.634256
36,SC20C_I035K01N07,True,2019510.390058,0.002320,0.073199,0.775033,0.728923,0.635221
