GEOID,DISTRICT
47135006954,1
47135006952,1
47071003705,2
47157008171,3
47157008195,3
47099005174,4
47099005163,4
47099005162,4
47099005164,4
47099005165,4
47099005167,4
47099005159,4
47099005173,4
47017000819,2
47017000803,2
47043002267,1
47043002256,1
47043002255,1
47101005251,1
47083004304,1
47079004112,1
47079004110,2
47079004106,2
47157008190,3
47157008170,3
47071003702,2
47071003703,2
47071003704,2
47071003707,2
47071003716,2
47071003712,2
47071003718,2
47157008079,2
47157008237,3
47157008110,3
47157008231,3
47157008064,3
47157008250,3
47157008070,2
47157008168,3
47157008131,3
47157008233,3
47157008182,3
47157008184,3
47085004406,1
47085004405,1
47085004407,1
47085004404,1
47085004401,1
47085004403,1
47049002559,5
47049002557,5
47049002551,5
47049002562,5
47049002553,5
47049002561,5
47049002552,5
47083004302,1
47083004303,1
47083004306,1
47099005160,4
47099005161,4
47099005151,4
47079004101,2
47101005252,1
47101005253,1
47101005257,1
47079004105,2
47079004102,2
47079004113,1
47079004103,1
47079004109,2
47079004104,2
47079004108,2
47051002661,5
47051005764,5
47051002663,5
47157008122,3
47157008091,3
47157008071,2
47157008055,2
47157008101,3
47077004002,2
47077004011,2
47045002361,2
47045002352,2
47045002362,2
47045002358,2
47045002353,2
47045002357,2
47045002365,2
47045002364,2
47109006151,2
47109006155,2
47169008801,5
47169008807,5
47169008810,5
47157008057,3
47157008089,3
47157008176,3
47157008174,3
47045002359,2
47101005254,4
47101005255,4
47157008136,3
47157008103,3
47053002771,2
47085004402,1
47085004408,1
47017000809,2
47017000802,2
47099005170,4
47099005171,4
47099005156,4
47151007754,6
47151007751,7
47137007055,5
47137007053,5
47055002860,4
47055002854,4
47055002862,4
47055002857,4
47055002856,4
47055002853,4
47055002852,4
47011000502,7
47011000507,7
47151007760,6
47051002660,5
47051005757,5
47051002657,5
47051002662,5
47051002667,5
47051002668,5
47051002652,5
47043002251,1
47043002252,1
47051002666,5
47043002254,1
47043002253,1
47043002265,1
47043002263,1
47043002259,1
47043002258,1
47119005956,4
47119005962,4
47119005953,4
47119005969,4
47119005964,4
47119005970,4
47119005951,4
47119005971,4
47119005965,4
47157008261,2
47045002356,2
47109006157,2
47109006158,2
47109006152,2
47109006167,2
47077004003,2
47145007471,7
47145007458,7
47145007453,7
47157008202,3
47157008121,3
47157008145,3
47157008197,3
47157008222,3
47157008086,3
47157008183,3
47157008189,3
47119005963,4
47119005966,4
47119005958,4
47119005959,4
47119005960,4
47119005961,4
47119005968,4
47017000810,2
47017000807,2
47017000805,2
47017000812,2
47017000806,2
47117005855,4
47117005856,4
47055002864,4
47055002859,4
47055002863,4
47055002855,4
47117005859,4
47117005852,4
47051002653,5
47043002266,1
47077004013,2
47077004004,2
47109006154,2
47109006165,2
47119005967,4
47119005957,4
47119005954,4
47131006761,2
47131006762,2
47131006752,2
47131006757,2
47131006760,2
47053002762,2
47053002763,2
47053002753,2
47053002759,2
47053002752,2
47053002770,2
47053002769,2
47053002768,2
47011000501,7
47011000509,7
47051002651,5
47145007467,7
47011000504,7
47119005952,4
47053002777,2
47053002778,2
47053002775,2
47053002772,2
47053002758,2
47053002754,2
47053002760,2
47053002755,2
47077004005,2
47077004001,2
47011000515,7
47145007464,7
47145007472,7
47145007452,7
47011000513,7
47003000109,4
47003000108,4
47003000111,4
47003000110,4
47003000103,4
47003000105,4
47003000102,5
47151007757,5
47151007756,6
47157008172,3
47157008113,3
47157008192,3
47043002260,1
47043002261,1
47043002262,1
47043002264,1
47053002776,2
47053002773,2
47053002774,2
47011000508,7
47011000506,7
47145007463,7
47017000804,2
47017000801,2
47131006759,2
47131006754,2
47131006753,2
47161008405,1
47151007755,6
47109006156,2
47077004008,2
47077004007,2
47049002556,5
47157008119,3
47157008241,3
47157008081,2
47157008051,2
47157008234,3
47157008142,3
47157008109,3
47157008246,3
47071003717,2
47135006955,1
47135006953,1
47135006957,1
47161008402,1
47145007462,7
47017000808,2
47125006464,1
47125006462,1
47125006468,1
47125006471,1
47125006467,1
47125006461,1
47049002555,5
47049002563,5
47049002558,5
47099005153,4
47117005857,4
47117005853,4
47117005858,4
47125006478,1
47125006451,1
47125006452,1
47125006460,1
47125006473,1
47125006458,1
47125006457,1
47125006470,1
47027001306,5
47027001305,5
47053002756,2
47053002757,2
47131006756,2
47131006751,2
47145007454,7
47181009408,2
47181009404,1
47181009401,2
47181009402,1
47181009409,1
47181009414,1
47181009405,2
47181009406,4
47181009403,4
47125006456,1
47125006476,1
47125006474,1
47125006455,1
47125006454,1
47035001722,5
47035001709,5
47035001708,5
47035001703,5
47035001717,7
47035001705,5
47035001712,5
47181009411,4
47181009410,1
47125006453,1
47125006463,1
47181009412,4
47181009413,4
47017000818,2
47099005166,4
47189009830,8
47189009831,5
47189009827,5
47189009826,5
47189009828,5
47189009808,5
47189009809,5
47189009802,8
47189009810,8
47189009814,8
47189009817,5
47189009819,8
47177009211,5
47177009207,5
47177009217,5
47099005154,4
47099005155,4
47099005157,4
47099005152,4
47099005158,4
47011000514,7
47011000510,7
47011000516,7
47011000505,7
47011000512,7
47157008226,3
47157008061,3
47157008093,3
47157008082,3
47157008090,3
47157008210,3
47145007465,7
47107006053,7
47107006059,7
47183009503,2
47183009501,2
47183009504,2
47183009507,2
47183009502,2
47183009509,2
47183009506,2
47183009508,2
47183009505,2
47051002655,5
47051002656,5
47051002658,5
47129006654,7
47129006657,7
47129006651,7
47129006653,7
47189009816,5
47189009811,5
47189009832,8
47189009833,8
47189009815,8
47189009829,8
47189009803,8
47189009822,8
47183009510,2
47099005168,4
47143007358,7
47143007357,7
47143007361,7
47145007461,7
47145007474,7
47189009804,8
47189009806,8
47189009820,5
47189009807,5
47189009823,8
47189009825,5
47169008809,5
47129006652,7
47129006662,7
47129006658,7
47089004605,9
47089004602,9
47089004606,9
47089004601,9
47145007456,7
47145007455,7
47089004609,9
47089004611,9
47137007057,5
47005000203,1
47001000001,6
47001000018,6
47001000027,6
47001000021,6
47001000026,7
47001000007,6
47001000016,6
47001000008,6
47001000006,6
47001000019,6
47001000011,6
47001000004,6
47035001711,5
47081004209,1
47081004207,1
47081004213,1
47105005452,7
47105005459,7
47105005453,7
47105005456,7
47107006052,7
47107006061,7
47107006062,7
47107006064,7
47107006054,7
47081004203,1
47081004204,1
47081004206,1
47081004202,1
47105005463,7
47105005462,7
47107006051,7
47001000013,6
47001000003,6
47001000025,6
47001000005,6
47165008614,8
47165008613,8
47165008636,8
47105005460,7
47105005461,7
47031001505,5
47031001506,5
47031001507,5
47031001523,5
47031001508,5
47031001501,5
47031001504,5
47031001514,5
47031001503,5
47031001513,5
47031001512,5
47031001516,5
47031001517,5
47081004208,1
47081004210,1
47081004214,1
47165008633,8
47165008619,8
47089004608,9
47001000009,6
47001000023,7
47001000010,6
47001000014,6
47189009818,8
47165008624,8
47107006063,7
47107006058,7
47081004205,1
47081004201,1
47081004211,1
47157008054,3
47157008149,3
47105005465,7
47105005455,7
47105005464,7
47177009209,5
47177009206,5
47177009201,5
47177009202,5
47177009203,5
47177009205,5
47157008073,2
47157008271,2
47157008075,2
47157008097,2
47115005753,5
47115005766,5
47115005760,5
47165008621,8
47165008623,8
47159008308,5
47159008307,5
47159008306,5
47005000204,1
47005000206,1
47005000202,1
47153007859,5
47153007851,5
47153007853,5
47131006758,2
47031001511,5
47031001502,5
47053002751,2
47053002761,2
47003000101,5
47003000107,5
47003000106,4
47143007353,7
47143007354,7
47143007355,7
47143007351,7
47143007352,7
47103000011,4
47103000016,4
47103000007,4
47103000008,4
47075003910,2
47165008608,8
47165008612,8
47129006659,5
47175009106,5
47175009101,5
47175009105,5
47053002765,2
47053002766,2
47089004603,9
47089004604,9
47139007151,7
47139007161,7
47003000104,4
47089004607,6
47075003914,2
47075003912,2
47075003903,2
47035001721,5
47035001714,5
47035001704,5
47035001706,7
47035001715,5
47035001701,5
47035001719,5
47127006554,4
47129006656,7
47129006661,5
47129006655,5
47035001716,5
47105005458,7
47157008105,3
47159008303,5
47159008305,5
47127006555,5
47115005754,5
47115005755,5
47115005762,5
47103000017,4
47103000010,4
47103000013,4
47157008221,3
47157008130,3
47157008269,3
47157008114,3
47157008139,3
47157008056,2
47157008065,2
47157008074,2
47157008217,3
47017000814,2
47157008141,3
47157008251,3
47157008265,3
47157008117,3
47157008211,3
47139007152,7
47103000018,4
47147007567,1
47147007565,1
47147007566,1
47147007568,1
47147007564,1
47147007563,1
47147007555,1
47147007554,1
47147007560,1
47147007552,8
47147007562,1
47147007553,8
47059003077,9
47059003052,9
47059003069,9
47181009407,4
47125006469,1
47125006477,1
47125006472,1
47125006465,1
47125006479,1
47125006466,1
47171008907,9
47171008905,9
47165008602,8
47103000012,4
47115005756,5
47115005764,5
47115005757,5
47157008102,3
47157008087,3
47157008111,3
47041002152,5
47041002158,5
47039002060,2
47039002051,2
47039002054,2
47039002059,2
47115005761,5
47059003063,9
47059003080,9
47059003061,9
47059003054,9
47031001522,5
47031001509,5
47031001510,5
47031001520,5
47031001521,5
47031001518,5
47031001519,5
47039002057,1
47059003053,9
47041002151,5
47041002159,5
47041002164,5
47043002257,1
47157008201,3
47157008125,3
47157008096,2
47021001006,1
47021001005,1
47165008635,8
47165008601,8
47165008609,8
47129006660,7
47021001001,1
47021001004,1
47037001863,8
47037001864,8
47037001901,1
47037001892,1
47037001835,8
47037001839,8
47037001910,1
47037001917,1
47037001850,8
47037001830,8
47037001891,1
47037001900,1
47001000020,6
47001000024,6
47163008507,9
47103000005,4
47103000015,4
47157008152,3
47157008052,2
47157008212,3
47157008178,3
47157008177,3
47157008159,3
47037001810,1
47171008906,9
47171008902,9
47171008903,9
47171008901,9
47037001956,1
47037001905,1
47037001906,1
47037001960,1
47037001945,8
47037001944,8
47037001914,1
47037001921,8
47037001919,8
47165008611,8
47165008632,8
47165008622,8
47165008628,8
47165008603,8
47165008620,8
47165008625,8
47165008626,8
47115005752,5
47035001713,5
47165008607,8
47097005063,2
47111005552,5
47111005551,5
47111005553,5
47087004511,5
47111005554,5
47111005558,5
47087004502,5
47087004508,5
47155007961,6
47155007959,6
47155007956,9
47155007951,9
47155007958,6
47155007957,9
47155007967,6
47155007965,6
47155007966,6
47155007962,6
47155007963,9
47155007975,9
47115005758,5
47021001007,1
47059003059,9
47059003084,9
47059003065,9
47113005681,2
47113005680,2
47113005678,2
47113005669,2
47167008703,2
47167008705,2
47167008704,2
47167008708,2
47031001515,5
47133006855,5
47133006852,5
47133006851,5
47133006857,5
47133006854,5
47133006853,5
47105005451,7
47139007160,7
47059003067,9
47059003076,9
47075003902,2
47175009103,5
47081004212,1
47179009332,9
47179009307,9
47179009329,9
47019000915,9
47141007262,5
47141007273,5
47141007251,5
47141007255,5
47141007261,5
47141007275,5
47141007254,5
47141007252,5
47141007269,5
47141007264,5
47185009604,5
47185009611,5
47185009601,5
47185009607,5
47185009610,5
47035001718,5
47035001707,5
47033001603,2
47033001609,2
47179009304,9
47179009322,9
47179009336,9
47179009302,9
47179009301,9
47179009317,9
47179009334,9
47179009324,9
47179009305,9
47179009312,9
47179009328,9
47179009308,9
47019000907,9
47001000017,6
47001000022,6
47001000015,6
47185009603,5
47185009609,5
47141007258,5
47141007256,5
47141007257,5
47141007271,5
47013000603,6
47013000601,6
47133006856,5
47133006858,5
47037001860,8
47037001931,8
47037001930,8
47037001893,1
47037001879,1
47037001958,1
47037001908,1
47037001903,1
47037001909,1
47037001884,8
47037001918,1
47037001848,8
47037001840,8
47037001814,8
47037001855,8
47037001857,8
47037001866,8
47037001915,1
47037001852,8
47037001853,8
47037001851,8
47037001805,1
47065003420,5
47065003421,5
47065003385,7
47065003389,7
47065003405,7
47065003390,7
47065003352,7
47065003427,5
47065003379,7
47065003380,7
47065003384,7
47065003365,7
47065003399,7
47059003072,9
47173009004,6
47013000611,6
47041002157,5
47041002155,5
47041002156,5
47007000302,5
47007000308,5
47007000311,5
47007000301,5
47059003082,9
