#,MAP,CONTIGUOUS,ENERGY,POPDEV,DELTA,SHARED,UOM,ES
99,VA20C_I098K01N11,True,2665456.647150,0.008570,0.000000,1.000000,0.000000,0.000000
82,VA20C_I081K01N11,True,2667493.844450,0.005620,0.000764,0.978244,0.160180,0.045034
35,VA20C_I034K01N11,True,2668757.119897,0.005340,0.001238,0.984911,0.118574,0.030957
95,VA20C_I094K01N11,True,2669386.453867,0.004060,0.001474,0.986443,0.109890,0.027748
74,VA20C_I073K01N11,True,2670003.530094,0.005450,0.001706,0.975448,0.177242,0.051465
96,VA20C_I095K01N11,True,2671185.460927,0.006660,0.002149,0.959450,0.257443,0.087293
27,VA20C_I026K01N11,True,2671327.414054,0.004450,0.002203,0.987036,0.102732,0.026625
45,VA20C_I044K01N11,True,2672994.033365,0.009250,0.002828,0.964563,0.230968,0.076409
91,VA20C_I090K01N11,True,2674971.397851,0.006150,0.003570,0.955974,0.267596,0.095324
7,VA20C_I006K01N11,True,2675221.660184,0.007590,0.003664,0.959066,0.249733,0.088142
49,VA20C_I048K01N11,True,2676181.896150,0.006780,0.004024,0.964082,0.224303,0.077085
52,VA20C_I051K01N11,True,2676243.044369,0.008420,0.004047,0.951918,0.274189,0.106902
89,VA20C_I088K01N11,True,2676465.083072,0.010360,0.004130,0.946781,0.287406,0.120647
3,VA20C_I002K01N11,True,2676531.201279,0.006690,0.004155,0.970039,0.186634,0.064467
6,VA20C_I005K01N11,True,2677612.430632,0.006660,0.004560,0.942970,0.337792,0.124159
18,VA20C_I017K01N11,True,2678694.945970,0.003910,0.004967,0.957918,0.270591,0.090136
63,VA20C_I062K01N11,True,2679283.189055,0.007220,0.005187,0.941968,0.314547,0.131974
90,VA20C_I089K01N11,True,2679615.118773,0.012240,0.005312,0.946175,0.315876,0.117511
56,VA20C_I055K01N11,True,2679957.362084,0.005660,0.005440,0.958123,0.255240,0.090286
71,VA20C_I070K01N11,True,2680302.215393,0.007920,0.005570,0.964594,0.236263,0.075543
32,VA20C_I031K01N11,True,2680879.589223,0.009430,0.005786,0.964053,0.240230,0.077024
16,VA20C_I015K01N11,True,2680902.230834,0.008280,0.005795,0.959545,0.253418,0.086964
36,VA20C_I035K01N11,True,2682151.261688,0.006760,0.006263,0.937096,0.336013,0.144904
46,VA20C_I045K01N11,True,2682388.748978,0.006760,0.006352,0.936036,0.335042,0.147207
58,VA20C_I057K01N11,True,2683944.186308,0.005670,0.006936,0.936935,0.370534,0.137405
33,VA20C_I032K01N11,True,2684726.325584,0.007920,0.007229,0.950263,0.301628,0.107604
17,VA20C_I016K01N11,True,2684726.325584,0.007920,0.007229,0.950263,0.301628,0.107604
9,VA20C_I008K01N11,True,2684741.993393,0.004450,0.007235,0.938516,0.349684,0.136336
1,VA20C_I000K01N11,True,2685433.749427,0.006320,0.007495,0.932071,0.370553,0.151123
88,VA20C_I087K01N11,True,2685736.173327,0.007410,0.007608,0.924612,0.414617,0.169186
44,VA20C_I043K01N11,True,2685801.111136,0.004590,0.007633,0.924573,0.403523,0.170525
76,VA20C_I075K01N11,True,2686107.198635,0.006540,0.007747,0.929630,0.396805,0.156502
19,VA20C_I018K01N11,True,2686503.928437,0.006930,0.007896,0.932710,0.394031,0.147170
