GEOID,DISTRICT
51117000901,10
51117000601,10
51117000201,10
51117000803,10
51117000702,10
51053000201,1
51053000202,8
51053000502,1
51053000102,8
51053000402,8
51053000403,1
51147000601,10
51147000501,10
51163000203,10
51147000302,10
51147000301,8
51163000503,10
51117000802,10
51163000501,10
51163000301,10
51009000303,10
51005005701,10
51005005601,10
51079000401,7
51079000201,7
51113000003,7
51137000101,7
51003000603,7
51079000101,7
51079000301,7
51113000006,7
51700000302,3
51700000108,1
51700000106,1
51700000311,3
51700000102,1
51700000314,3
51163000202,10
51163000201,10
51163000504,10
51163000502,10
51163000101,10
51163000104,10
51163000302,10
51023000301,10
51125000101,10
51125000401,10
51053000303,1
51161000105,0
51770000001,0
51161000304,0
51810000024,4
51810000082,4
51810000086,4
51810000093,4
51810000001,4
51810000042,4
51810000052,4
51163000401,10
51163000402,10
51117000701,10
51117000203,10
51117000302,8
51117000501,8
51117000401,8
51117000103,10
51117000903,10
51005005201,0
51107000615,2
51107000625,2
51107000819,2
51810000037,4
51810000011,4
51810000017,4
51810000059,4
51710000512,4
51810000041,4
51161000104,0
51770000003,10
51009000101,10
51031000601,10
51009000201,10
51005005101,0
51107000416,2
51107000409,2
51107000403,2
51107000402,2
51107000808,2
51107000122,2
51107000124,2
51107000120,2
51107000112,2
51107000119,2
51083000401,10
51083000502,10
51083000701,10
51107000121,2
51107000210,2
51107000209,2
51107000401,2
51107000421,2
51065000301,7
51065000201,7
51077000203,0
51077000101,0
51085000704,9
51085000101,9
51085000602,1
51085000406,1
51087000209,1
51085000703,9
51199000502,3
51199000501,3
51199000201,3
51199000103,1
51095000503,1
51700000110,1
51095000502,1
51077000202,0
51197000602,0
51125000501,10
51125000201,10
51185000502,0
51185000501,0
51167000403,0
51167000303,0
51167000602,0
51167000402,0
51107000207,2
51107000307,2
51107000503,2
51107000114,2
51107000107,2
51107000123,2
51107000629,2
51107000117,2
51107000411,2
51167000501,0
51167000302,0
51185000214,0
51167000301,0
51077000108,0
51077000104,0
51107000316,2
51107000312,2
51107000321,2
51107000118,2
51107000701,2
51107000702,2
51095000403,1
51095000303,1
51095000402,1
51095000401,1
51095000202,1
51095000304,1
51810000030,4
51810000070,4
51810000050,4
51810000003,4
51810000027,4
51810000099,4
51810000044,4
51810000065,4
51810000038,4
51810000019,4
51141000501,0
51141000503,0
51590000016,10
51143000705,10
51590000004,10
51083000302,10
51083000103,10
51083000203,10
51141000301,0
51141000203,0
51141000502,0
51141000202,0
51141000302,0
51141000401,0
51053000501,1
51053000302,1
51125000502,10
51125000402,10
51163000403,10
51035000303,0
51035000301,0
51011000102,10
51011000202,10
51011000401,10
51011000101,10
51011000501,10
51057000301,1
51035000102,0
51035000105,0
51035000103,0
51810000083,4
51810000046,4
51810000080,4
51810000021,4
51810000016,4
51810000039,4
51810000063,4
51810000095,4
51035000402,0
51035000502,0
51035000406,0
51035000503,0
51035000202,0
51185000401,0
51185000402,0
51027000702,0
51141000402,0
51185000204,0
51185000209,0
51185000102,0
51107000622,2
51107000626,2
51107000707,2
51107000619,2
51107000308,2
51043000302,2
51057000201,9
51107000311,2
51107000305,2
51107000315,2
51590000003,10
51197000203,0
51197000402,0
51197000303,0
51199000401,3
51199000303,3
51199000102,1
51685000002,6
51685000001,6
51685000003,6
51167000102,0
51167000202,0
51590000013,10
51125000301,10
51035000201,0
51197000102,0
51197000101,0
51199000302,3
51199000301,3
51127000501,1
51107000319,2
51107000318,2
51107000322,2
51107000313,2
51071000302,0
51820000001,7
51015000603,10
51125000202,10
51199000403,3
51043000201,2
51043000101,7
51043000301,7
51590000011,10
51035000302,0
51185000104,0
51590000010,10
51590000017,10
51069000302,7
51043000401,7
51069000401,7
51161000106,0
51161000103,0
51775000009,0
51161000302,0
51161000507,0
51810000014,4
51810000025,4
51810000023,4
51710000408,4
51810000064,4
51810000034,4
51810000005,4
51810000004,4
51043000501,2
51155000202,0
51155000501,0
51820000002,10
51820000004,10
51083000702,10
51141000201,0
51161000405,10
51161000401,10
51165000201,7
51165000103,7
51165000104,7
51165000204,7
51165000406,7
51165000401,7
51165000205,7
51165000402,7
51085000303,1
51085000506,9
51101000501,9
51085000601,1
51085000603,1
51165000502,7
51165000501,7
51185000103,0
51185000301,0
51185000303,0
51049000501,10
51057000101,9
51107000218,2
51107000813,2
51107000309,2
51107000219,2
51107000208,2
51107000504,2
51107000502,2
51177000302,9
51177000301,9
51630000101,9
51177000103,9
51177000102,9
51177000602,9
51177000601,9
51177000504,9
51177000303,9
51165000503,7
51165000504,7
51101000201,1
51101000101,1
51177000402,9
51177000704,9
51177000703,9
51083000101,10
51085000301,1
51087000222,8
51087000223,9
51087000103,9
51087000109,9
51107000314,2
51107000320,2
51107000616,2
51107000628,2
51107000125,2
51107000509,2
51107000414,2
51107000508,2
51107000413,2
51107000501,2
51049000401,8
51107000820,2
51107000814,2
51690000005,0
51195000401,0
51195000102,0
51740000024,3
51740000022,3
51770000019,0
51770000008,10
51770000009,10
51770000020,0
51770000007,10
51770000006,10
51161000403,10
51510000109,5
51510000110,5
51510000105,5
51510000112,5
51510000103,5
51059000621,5
51510000108,5
51510000107,5
51510000106,5
51510000111,5
51013000050,5
51013000003,5
51013000052,5
51510000102,5
51510000202,5
51113000005,7
51770000015,0
51770000017,0
51770000011,0
51770000002,10
51173000401,0
51173000402,0
51173000201,0
51770000014,10
51770000013,10
51023000403,10
51195000302,0
51740000014,4
51740000017,4
51740000019,3
51550000025,4
51740000016,4
51740000005,4
51740000026,3
51740000028,3
51775000005,0
51775000001,0
51195000203,0
51195000104,0
51199000402,3
51065000101,7
51119000102,1
51775000006,0
51195000101,0
51195000301,0
51740000001,4
51173000502,0
51770000012,0
51161000505,0
51023000102,10
51023000101,10
51023000406,10
51165000101,7
51165000404,7
51165000302,7
51165000403,7
51195000402,0
51195000103,0
51047000703,7
51047000401,7
51630000401,9
51630000201,9
51109007021,9
51075000202,8
51109007022,7
51075000102,7
51109007023,9
51085000701,9
51087000308,9
51085000203,9
51085000105,9
51085000201,9
51033000601,9
51033000402,9
51161000202,10
51173000601,0
51177000702,9
51177000401,9
51177000403,9
51177000701,9
51117000604,8
51117000301,8
51041000208,8
51041000108,1
51041000405,8
51041000516,8
51041000409,8
51041000301,1
51730000701,1
51041000501,8
51041000513,8
51119000201,3
51119000501,1
51740000021,3
51740000031,3
51510000204,5
51510000305,5
51510000306,5
51510000304,5
51510000309,5
51740000039,3
51740000037,3
51740000036,3
51775000007,0
51775000004,0
51775000002,0
51195000202,0
51085000404,1
51087000503,1
51127000202,1
51047000702,7
51047000201,7
51683000001,2
51683000003,6
51683000006,6
51153000214,6
51107000623,2
51107000627,2
51107000620,2
51083000603,10
51155000102,0
51155000301,0
51155000101,0
51155000304,0
51195000201,0
51740000025,3
51071000202,0
51165000203,7
51510000308,5
51510000209,5
51510000206,5
51071000103,0
51071000201,0
51071000203,0
51041000204,8
51041000212,8
51173000101,0
51161000506,0
51770000010,0
51177000201,9
51177000203,9
51071000101,0
51155000302,0
51087000110,8
51087000101,8
51087000312,8
51087000117,8
51760000111,8
51087000203,8
51760000309,8
51087000407,8
51101000301,9
51101000202,1
51510000208,5
51510000210,5
51510000205,5
51059000402,5
51083000305,10
51115000001,3
51115000003,3
51041000515,8
51041000207,8
51041000216,8
51083000102,10
51173000301,0
51173000501,0
51165000405,7
51165000304,7
51165000108,7
51165000107,7
51165000102,7
51023000302,10
51019000601,10
51770000005,10
51770000004,10
51041000504,8
51041000511,8
51041000505,8
51041000507,8
51037000101,10
51037000702,10
51037000501,10
51037000401,10
51037000201,10
51690000001,0
51041000503,8
51041000518,8
51041000508,8
51041000416,8
51041000105,1
51041000214,1
51195000403,0
51051000301,0
51740000007,3
51740000030,3
51165000505,7
51023000501,10
51023000502,10
51173000602,0
51770000018,0
51775000008,0
51173000202,0
51173000701,0
51173000302,0
51023000202,10
51087000513,1
51087000201,1
51087000511,1
51087000220,1
51760000604,1
51087000515,1
51520000002,0
51520000003,0
51003000302,7
51139000301,7
51139000201,7
51139000401,7
51047000603,7
51047000602,7
51630000301,9
51630000402,9
51041000209,1
51710000201,3
51710000208,3
51139000501,7
51620000601,1
51041000509,8
51041000410,8
51041000110,1
51041000101,1
51109000601,9
51109000503,9
51790000201,10
51790000501,10
51015000405,10
51091000010,10
51069000503,7
51069000403,7
51069000404,7
51069000204,7
51069000103,7
51015000103,7
51790000401,7
51179000302,9
51179000301,9
51179000203,9
51179000201,9
51179000202,9
51179000602,9
51179000604,9
51179000501,9
51179000502,9
51179000601,9
51179000603,9
51179000703,9
51179000701,9
51179000702,9
51033000401,9
51085000206,9
51085000208,9
51085000202,9
51033000602,9
51033000201,9
51033000202,9
51033000501,9
51710000303,4
51710000103,3
51710000104,3
51710000406,4
51710000212,3
51091000008,10
51041000408,8
51131000401,3
51131000101,4
51131000301,3
51131000201,3
51520000001,0
51191000603,0
51169000102,0
51730000401,1
51730000501,1
51730000301,1
51730000101,1
51149000104,1
51041000412,8
51041000402,8
51041000411,8
51041000517,8
51041000319,8
51041000417,8
51041000309,8
51041000318,8
51041000315,8
51041000305,8
51041000211,8
51131000501,3
51660000104,7
51660000101,7
51660000102,7
51133000401,3
51133000501,1
51133000301,1
51133000201,1
51133000101,9
51119000401,1
51119000101,1
51003000504,7
51003000507,7
51193000101,9
51041000104,1
51041000201,8
51730000601,1
51760000306,8
51760000204,8
51760000206,8
51760000503,8
51760000410,8
51760000414,8
51760000409,8
51041000502,8
51760000413,8
51760000508,8
51033000301,9
51033000101,9
51087000517,1
51087000306,8
51087000518,1
51087000409,8
51087000505,1
51087000304,8
51087000401,8
51087000208,1
51087000417,8
51760000707,1
51760000708,1
51760000802,1
51033000102,9
51033000502,9
51145000202,8
51730000201,1
51145000201,8
51145000502,8
51003000301,7
51003000506,7
51003000106,7
51003000502,7
51037000602,10
51157000301,7
51157000401,7
51017000501,10
51017000201,10
51017000101,10
51145000101,8
51600000005,6
51670000601,1
51670000401,1
51670000301,1
51670000701,1
51153000304,9
51153000312,9
51153000201,9
51153000215,9
51153000708,9
51153000311,9
51153000710,9
51153000712,9
51153000709,9
51153000704,9
51153000706,9
51153000511,6
51153000508,6
51193000401,9
51193000302,9
51099000401,9
51013000019,5
51013000032,5
51013000009,5
51069000502,7
51790000301,10
51069000303,7
51069000202,7
51069000602,7
51840000201,7
51760000501,8
51760000607,1
51087000405,8
51087000506,1
51760000706,1
51087000413,8
51087000214,8
51087000402,8
51800000202,3
51800000601,3
51800000404,3
51800000302,3
51800000604,3
51800000605,3
51800000304,3
51183000101,1
51183000402,1
51183000601,1
51183000602,1
51183000301,1
51157000502,7
51157000101,7
51157000501,7
51047000601,7
51073000501,3
51073000401,1
51073000402,1
51045000201,0
51710000506,3
51710000210,3
51710000413,4
51710000415,4
51710000510,3
51710000511,3
51710000217,3
51003000202,7
51003000201,7
51003000304,7
51091000005,10
51069000104,7
51061000102,9
51760000703,1
51760000702,1
51760000609,1
51760000806,1
51760000911,8
51760000910,8
51025000401,8
51025000303,8
51029000601,10
51029000401,10
51029000102,7
51029000701,10
51029000502,10
51029000101,7
51111000301,8
51111000601,8
51111000302,8
51019000403,10
51680000401,10
51680000101,10
51680000102,10
51680000204,10
51680000103,10
51680000301,10
51680000202,10
51183000502,1
51183000501,1
51045000403,0
51071000303,0
51710000218,3
51710000215,3
51710000305,3
51087000418,8
51087000514,1
51087000516,1
51087000212,8
51087000411,8
51087000106,8
51087000404,8
51760000101,8
51087000415,8
51087000314,8
51087000309,8
51093000401,1
51093000504,1
51087000213,8
51087000211,1
51087000224,8
51760000606,1
51760000304,1
51087000301,8
51087000305,8
51073000302,1
51073000201,1
51073000502,1
51045000303,0
