GEOID,DISTRICT
53011000909,2
53011000947,2
53011000910,2
53011000914,2
53011000912,2
53011000110,2
53011000654,2
53011000426,2
53011000371,2
53011000370,2
53011000617,2
53011000616,2
53011000614,2
53011000620,2
53011000130,2
53011000147,2
53011000587,2
53011000585,2
53011000589,2
53011000586,2
53011000560,2
53011000553,2
53011000958,2
53011000957,2
53011000961,2
53011000690,2
53011000959,2
53005005629,6
53005002565,6
53005003003,6
53005001680,6
53005001674,6
53005002590,6
53005002595,6
53049000015,5
53049000013,5
53049000011,5
53049000034,5
53049000006,5
53005005638,6
53005005625,6
53005005639,6
53005005630,6
53071000053,1
53071000034,6
53011000630,2
53011000120,2
53011000125,2
53011000490,2
53011000480,2
53005002640,6
53005000465,6
53011000684,2
53011000697,2
53011000340,2
53011000337,2
53011000175,2
53011000294,2
53017000309,6
53017000304,6
53017000209,6
53017000210,6
53017000213,6
53011000605,2
53011000537,2
53011000603,2
53071000052,1
53071000014,1
53071000018,1
53011000502,2
53011000503,2
53017000110,6
53017000301,6
53017000306,6
53017000101,6
53017000102,6
53017000313,6
53017000103,6
53017000114,6
53017000107,6
53017000109,6
53005000450,6
53005002401,6
53005002580,6
53011000484,2
53011000550,2
53011000440,2
53011000658,2
53071000025,1
53071000009,1
53071000019,1
53071000021,1
53071000003,1
53071000042,6
53071000043,6
53005006285,6
53005006293,6
53049000027,5
53049000110,5
53049000023,5
53049000024,5
53049000103,5
53049000025,5
53005004012,6
53005004011,6
53005004016,6
53005004009,6
53039000001,6
53039000014,6
53017000303,6
53017000111,6
53017000112,6
53039000002,2
53039000003,2
53005005627,6
53005006320,6
53005005637,6
53005006311,6
53005002403,6
53033000455,3
53033003282,8
53033001493,9
53033001099,8
53033000901,8
53033003735,8
53033002309,10
53033002277,10
53033001925,9
53033001765,9
53033002350,10
53033002338,10
53033000547,8
53033000639,8
53033000233,3
53033000690,3
53033000848,3
53033000739,3
53033000111,8
53033001061,9
53033001064,9
53033002674,3
53033002598,8
53033003738,8
53033003739,8
53033002967,8
53033001991,9
53033002058,9
53033001992,9
53011000250,2
53011000245,2
53011000671,2
53071000041,1
53071000050,1
53011000940,2
53071000006,1
53071000005,1
53005005621,6
53005004001,6
53005006150,6
53005000099,6
53005000096,6
53005006286,6
53005006284,6
