#,MAP,CONTIGUOUS,ENERGY,POPDEV,DELTA,SHARED,UOM,ES
22,WI20C_I021K01N08,True,2521464.010724,0.000710,0.000000,1.000000,0.000000,0.000000
69,WI20C_I068K01N08,True,2521464.013116,0.000710,0.000000,1.000000,0.000000,0.000000
12,WI20C_I011K01N08,True,2521968.021020,0.001850,0.000200,0.980885,0.145868,0.039279
9,WI20C_I008K01N08,True,2522137.578153,0.001850,0.000267,0.982362,0.136362,0.036174
57,WI20C_I056K01N08,True,2522137.578153,0.001850,0.000267,0.982362,0.136362,0.036174
83,WI20C_I082K01N08,True,2522137.578153,0.001850,0.000267,0.982362,0.136362,0.036174
70,WI20C_I069K01N08,True,2522137.578153,0.001850,0.000267,0.982362,0.136362,0.036174
98,WI20C_I097K01N08,True,2522137.578153,0.001850,0.000267,0.982362,0.136362,0.036174
32,WI20C_I031K01N08,True,2522137.578153,0.001850,0.000267,0.982362,0.136362,0.036174
46,WI20C_I045K01N08,True,2522200.108473,0.001850,0.000292,0.982330,0.136592,0.036242
84,WI20C_I083K01N08,True,2522200.108473,0.001850,0.000292,0.982330,0.136592,0.036242
63,WI20C_I062K01N08,True,2522200.108473,0.001850,0.000292,0.982330,0.136592,0.036242
5,WI20C_I004K01N08,True,2522200.108473,0.001850,0.000292,0.982330,0.136592,0.036242
65,WI20C_I064K01N08,True,2522200.108473,0.001850,0.000292,0.982330,0.136592,0.036242
75,WI20C_I074K01N08,True,2522341.270803,0.001760,0.000348,0.977165,0.165932,0.047271
20,WI20C_I019K01N08,True,2522600.936441,0.001850,0.000451,0.982170,0.137733,0.036592
23,WI20C_I022K01N08,True,2522600.936441,0.001850,0.000451,0.982170,0.137733,0.036592
50,WI20C_I049K01N08,True,2522600.936441,0.001850,0.000451,0.982170,0.137733,0.036592
13,WI20C_I012K01N08,True,2522600.936442,0.001850,0.000451,0.982170,0.137733,0.036592
45,WI20C_I044K01N08,True,2522600.936442,0.001850,0.000451,0.982170,0.137733,0.036592
74,WI20C_I073K01N08,True,2522600.936442,0.001850,0.000451,0.982170,0.137733,0.036592
41,WI20C_I040K01N08,True,2522601.011738,0.001470,0.000451,0.980166,0.150597,0.040776
3,WI20C_I002K01N08,True,2522854.624912,0.001350,0.000552,0.980800,0.146568,0.039451
66,WI20C_I065K01N08,True,2525911.126519,0.001260,0.001764,0.963885,0.239592,0.076206
49,WI20C_I048K01N08,True,2527528.221107,0.004920,0.002405,0.954926,0.288176,0.095960
90,WI20C_I089K01N08,True,2527528.221107,0.004920,0.002405,0.954926,0.288176,0.095960
8,WI20C_I007K01N08,True,2528481.260275,0.003040,0.002783,0.950874,0.306678,0.105142
59,WI20C_I058K01N08,True,2528721.242157,0.002590,0.002878,0.946474,0.328969,0.115273
