GEOID,DISTRICT
55099004857,5
55099004862,5
55099004865,1
55099004863,5
55099004858,1
55099004859,1
55099004889,1
55099004884,1
55099004872,1
55099004882,1
55099004887,1
55099004880,1
55099004870,5
55099004871,5
55099004856,1
55099004855,5
55135006989,0
55135006943,0
55135006990,2
55135006963,0
55017000595,5
55017000593,5
55017000580,5
55017000588,5
55017000587,5
55127006278,7
55127006268,7
55127006277,7
55127006271,7
55127006276,7
55127006218,7
55127006204,7
55127006219,7
55127006222,7
55127006233,7
55127006231,7
55127006174,7
55127006175,7
55127006176,7
55127006285,7
55127006151,7
55127006150,7
55127006164,7
55127006283,7
55127006173,7
55127006159,7
55127006158,7
55127006289,7
55127006291,7
55127006288,7
55127006292,7
55127006296,7
55127006297,7
55127006241,7
55127006239,7
55127006242,7
55127006211,7
55127006181,7
55135006931,0
55135006968,0
55135006962,0
55135006947,0
55135006985,1
55135006988,1
55135006930,0
55135006941,0
55135006940,0
55135006925,0
55135006984,1
55135006998,0
55135008074,0
55099004878,5
55099004877,5
55135006936,0
55135006911,0
55099004861,1
55099004860,1
55099004886,1
55099004873,5
55099004875,5
55099004874,5
55125006134,1
55125006124,1
55125006121,1
55067002994,0
55067002991,0
55067003020,0
55067003006,0
55067003011,0
55067003005,1
55067003023,0
55067003009,0
55135006982,0
55135006916,2
55135006927,2
55135006906,2
55135006996,0
55135006919,0
55135006918,0
55135006956,0
55135006908,0
55135006924,0
55135006979,0
55135007001,0
55135006967,0
55135006969,0
55135006952,0
55135006991,0
55135006994,0
55135006987,0
55135007002,0
55135006973,0
55135006974,0
55135006960,0
55135006959,0
55009000383,0
55009000309,0
55009000382,0
55009000385,0
55009000206,0
55009000254,0
55027001487,2
55027001565,2
55067002988,1
55067002995,1
55067003022,0
55125006123,1
55125006127,1
55125006126,1
55125006119,1
55125006116,1
55125006108,1
55009000282,0
55141007305,1
55141007304,1
55141007296,1
55141007302,1
55141007289,1
55141007356,1
55141007264,1
55141007349,1
55141007372,1
55141007283,1
55141007324,1
55053002396,1
55053002390,1
55141007303,1
55141007348,1
55141007284,1
55141007268,1
55141007341,1
55141007360,1
55141007371,1
55141007373,1
55027001547,2
55027001548,7
55027001514,2
55027001601,7
55027001559,2
55027001515,2
55027001516,2
55009000269,0
55009000218,0
55009000247,0
55009000333,0
55009000239,0
55099004866,1
55099004864,1
55141007338,1
55141007339,1
55141007262,1
55141007261,1
55141007362,1
55141007359,1
55141007363,1
55125006130,1
55125006137,1
55125006143,0
55125006141,0
55125006138,0
55027001602,7
55027001518,7
55027001519,7
55009000234,0
55009000387,0
55009000341,0
55009000324,0
55009000348,0
55085004221,1
55085004263,1
55085004239,1
55085004270,0
55085004259,1
55085004278,1
55085004245,0
55085004258,0
55085004246,0
55085004255,1
55085004233,1
55085004249,0
55085004226,1
55125006103,0
55125006133,0
55125006125,1
55125006122,1
55125006135,1
55027001525,7
55027001460,7
55027001480,7
55027001463,2
55027001481,7
55027001471,2
55027001464,2
55027001588,2
55027001589,2
55027001501,2
55033001739,5
55033001752,5
55033001750,5
55033001778,5
55033001786,5
55033001779,5
55127006207,7
55127006161,7
55127006162,7
55127006212,7
55127006209,7
55127006298,7
55127006258,7
55127006224,7
55127006208,7
55127006195,7
55127006194,7
55127006193,7
55127006237,7
55127006236,7
55127006185,7
55127006183,7
55127006184,7
55127006295,7
55127006186,7
55127006188,7
55127006187,7
55127006189,7
55127006294,7
55127006263,7
55127006262,7
55127006251,7
55127006261,7
55127006264,7
55127006163,7
55127006265,7
55127006156,7
55127006240,7
55127006192,7
55127006160,7
55127006293,7
55027001557,7
55085004243,1
55085004280,0
55085004257,1
55085004252,1
55085004273,1
55085004276,1
55085004272,1
55033001743,5
55033001790,5
55033001774,5
55033001781,5
55033001784,5
55033001780,5
55033001756,5
55033001787,5
55033001770,5
55033001769,5
55085004275,1
55085004274,1
55009000220,0
55009000198,0
55009000310,0
55009000330,0
55009000320,0
55009000281,0
55009000394,0
55009000210,0
55009000284,0
55009000197,0
55009000323,0
55009000253,0
55009000292,0
55009000318,0
55009000205,0
55017000611,5
55017000609,5
55017000608,5
55017000604,5
55037001942,0
55037001938,0
55037001944,0
55037001950,0
55037001941,0
55085004282,1
55085004269,1
55085004238,0
55085004267,0
55085004261,1
55085004240,1
55085004241,1
55085004271,1
55085004237,1
55085004253,1
55125006118,1
55125006109,1
55009000335,0
55009000258,0
55009000349,0
55009000267,0
55009000396,0
55009000215,0
55027001466,2
