GEOID,DISTRICT
370210001.1,7
370210053.1,7
370210068.1,7
370210022.2,7
370210027.2,7
370210058.1,7
370210059.1,7
37191000004,12
37191000026,12
37191002530,1
3706100CALY,1
37191000028,12
37191000002,12
370210066.1,7
37143BETHEL,10
370210044.1,7
370210024.1,7
370210048.1,7
370210038.3,7
370210036.1,7
37111FORT-1,7
37111FORT-2,7
370210060.2,7
37035000019,3
37035000006,3
37035000002,3
370230029-B,3
370230029-A,3
3710900NB35,3
37035000030,3
37035000014,3
37035000032,3
37035000001,3
370210002.1,7
37035000017,3
37035000026,3
37035000024,3
37023000012,3
37023000013,3
37023000015,3
371350000SM,6
371350000CP,13
37063000044,6
371350000HE,13
37135000ENO,6
37063000045,6
37063000050,6
37153000004,13
370210011.1,7
370210045.1,7
370210039.2,7
370210039.3,7
370210037.1,7
370210003.1,7
370210054.2,7
370210018.2,7
370890000FL,7
370210052.1,7
37035000016,3
37035000029,3
37035000012,3
37035000023,3
371050000D1,13
371050000D2,13
371050000C1,13
371050000C2,13
371350000WD,13
37135000WDS,13
37153000009,2
371050000E1,13
371050000E2,13
3708500PR23,13
3708500PR26,2
3708500PR24,11
3710100PR14,11
3708500PR25,2
3708500PR29,2
370210047.1,7
37143PARKVI,10
37143NEW-HO,10
3706100WOLF,1
370210025.1,7
370210008.3,7
370210060.4,7
370210008.2,7
370210034.1,7
3706100MAGN,1
3716300ROWA,1
3716300INGO,1
3706100BEUL,1
37107000PH2,1
3706100KENA,1
37135000CS1,13
37153000008,2
37165006-89,2
37153000005,13
37165001-16,2
37155000019,2
3703100NPT2,10
3703100NPT1,10
3703100IBSP,10
3703100MHD2,10
3703100ABCH,10
3703100MHD1,10
3708500PR07,2
3706100WALL,1
3706100ROSE,1
3706100WARS,1
3716300TURK,1
3706100FAIS,1
3716300GIDD,1
3706100GLIS,1
37165000004,2
37165000003,2
37017000P80,2
37017000P45,2
3701700P202,2
37017000P55,1
3713300BC21,1
3713300ML23,10
37103000P07,10
3713300NR02,1
37143NICANO,10
37035000013,3
371350000NS,13
371350000WW,13
37019000016,1
370190004B2,1
3701900004A,1
37129000W03,1
37129000W26,1
37019000021,1
37019000007,1
37019000017,1
37019000019,1
37019000008,1
37019000020,1
37019000015,1
37153000002,13
37153000001,13
37153000013,13
37165002-25,2
371350000KM,13
37035000031,5
37035000008,3
371350000LC,13
37191000013,12
37191000007,12
37191000001,12
37191001920,12
37191000029,12
37191000012,12
37057000062,4
37057000066,4
37123000LIT,13
37055000KDH,10
370550000EL,10
3705500AVON,10
3705500KTHK,10
3705500SOSH,10
370210023.3,7
370210021.1,7
370210023.2,7
370210014.3,7
